apple|苹果
acetylene|乙炔, 电石气
autoclaved|高压蒸汽处理的
acerous|[机] 针状的
almandine|[矿]铁铝榴石
antilactase|[化] 抗乳糖酶
armrests|(armrest 的复数) n. 扶手, 靠手
advancing|[计] 导前
anecdotic|轶话的, 爱谈轶事的
atticize|,vi. Atticism, atticism的变形
assentor|同意者, 赞成者
apiolin|[医] 洋芹素(通经药)
arite|砷锑镍矿
amboinese|(印尼)安汶人(语)
anionics|[化] 阴离子表面活性剂
amianthine|石棉, 石绒
antiman|[法] 反人类
agnostic|不可知论者
albanite|白榴岩
axillas|pl. 腋(窝), 胳肢窝, 腋下
alif|阿拉伯文的第一个字母
arrayal|排列
animistic|万物有灵论的
autotomous|autotomy的变形
aho|阿霍（人名）
arris|棱
alcalde|市长, 治安官
azores|亚速尔群岛（位于大西洋北部）
ais|[计] 会计信息系统, 自适应信息选择, 高级信息系统, 高级指令系统
assyria|亚述
avellaneous|榛色的, 淡褐色的
archorrhea|[医] 肛门粘液溢, 直肠粘液溢
alboranite|拉长安山岩
amyxorrhea|[医] 粘液分泌缺乏
amicability|友善, 温和
adaption|适应, 改编本, 适应性的变化, 适合
annotinous|已生长一年的
athrocyte|[生]摄物细胞(具有摄物作用的细胞)
apses|(apse 的复数) n. (教堂)半圆形拱顶附带建筑
anthranol|蒽酚
anisaldehyde|[化]茴香醛, 对甲氧基苯甲醛
aloofness|冷漠；高傲；超然离群
anglophiliac|Anglophilia的变形
artless|无虚饰的, 单纯的, 自然的
antagonists|对立[对抗] 者, 对手, 敌手( antagonist的复数形式 ); <解>对抗肌; <药>对抗药
altering|[计] 变更
anathematic|厌恶的；憎恶的
adiathermic|[医] 不透热的, 绝热的
appalled|惊骇的；丧胆的
alecs|(alec 的复数) n. 亚历克（男子名）
apprised|通知；报告（apprise的过去式和过去分词）
apar|(Apar)人名；(塞)阿帕尔
antrorse|向上的, 向前的
ammonify|[化]加氨于, 使氨化
accession|到达, 即位, 增加, 同意, 发作, 正式接受
autoloader|[计] 软盘自动异控器
autopotamic|生活在淡水溪中的
affronted|被冒犯的；被侮辱的
anglice|用英语方式,依英语习惯
adsorption|吸附
adactylism|[医] 无指(趾)[畸形]
alme|(埃及的)歌女,舞女
agglutinogen|[生](产生凝集素的)凝集原
anthranone|[化] 蒽酮
asterionella|[医] 矽藻属
athetosis|[医]指痉病, 手足徐动症
arsenium|[拉][化]砷
antler|鹿角
amanitine|[化] 鹅膏蕈碱; 鹅膏蕈素
anallergic|[医] 非变应性的, 非过敏性的
ambries|橱柜；教堂的圣器壁龛
alveolitis|齿槽炎
abelia|六道木属
addressee|收件人, 收信人
antitrade|反贸易风的, 反信风的
autumns|秋( autumn的复数形式 ); 秋天; 成熟期; 渐衰期
anchorite|隐居修道者, 隐士
appendage|附加物, 附器
adjourning|解散期；解散阶段；中止阶段
arillate|有假种皮的
augusta|奥古斯塔（美国一城市名）
agaricus|[医] 落叶松蕈
amphoteric|两性的
aldehydic|醛式的
acinotubular|[医] 管状腺泡的
albuminuric|[医] 蛋白尿的
aceanthrene|[化] 醋蒽
allotted|专款的；拨出的
alexanders|亚历山大（男子名）
argentous|银的, 亚银的
aplasia|[医]发育不全, 成形不完全,先天萎缩
aberdevine|金翅雀
ammoniacum|[化] 氨草胶
antemundane|创世前的
airspaces|(airspace 的复数) n. 空域, 空间
afforded|给予, 提供；买得起
ardelia|[人名] 阿德利亚
alum|明矾, 矾, 校友
armoury|军械库, 兵工厂
apathism|兴奋迟钝, 兴奋性缺失
arenicolite|[地质]砂栖石
animative|使有生气的；令人鼓舞的
aristarch|严厉的批评家
anteriority|先前, 居先
ancora|侧齿骨; 锚形期
angelophany|天使显现
aldoside|醛糖甙
alidade|照准仪, 森林火灾测位仪
americanizes|, vi. [美国英语](在特性、方式、方法、理想等方面)(使)美国化；(使)与美国习俗(或用语等)同化；(使)带上美国特点
antonia|(女子名)安东尼娅
anda|[医] 安达树属
atrocities|邪恶, 暴行( atrocity的名词复数 ); 滔天大罪
absurdism|荒诞主义
ambrettolide|黄葵内酯环十六烯, 麝香内脂
arbitress|女仲裁人
alchemizing|使变质, 使变化( alchemize的现在分词 )
anemophilous|风媒的
abscam|Arab scam 阿拉伯故事
anesthetists|麻醉师( anesthetist的复数形式 )
annihilative|有消灭能力的
aluminising|喷铝
arisings|废弃物, 剩余物；副产品
aet|[化] 氨乙异硫脲
adendric|无树突的
argyles|多色菱形花纹；多色菱形图案的袜子
atilt|倾斜的, 摆着冲刺姿势的
anuran|[动]无尾目类动物
apocynthion|[天]远月点
allotypy|同种异型性
assemblies|集合; 装配; 集会; 集结; 装配( assembly的名词复数 ); 集会; [军事]1)。 集合; [机械学]（供装配的）零件
arraigner|[法] 传讯人, 提审人, 审问人
airmailed|航空邮寄( airmail的过去式和过去分词 ); <谑>投; 掷; 抛
alkalifiable|[化] 可碱化的
ametabolic|不变形的
autolyzate|[机] 自溶产物
adamantinoma|(pl.adamantinomas)(=adamantoma)釉质[上皮]瘤
alveolars|(alveolar 的复数) a. 牙槽的, 肺泡的
anisotropies|[物] 各向异性
ablastous|无芽的
anotus|[医] 无耳畸胎
abstersion|洗涤
apostolicism|apostolic, apostolical 的变形
apoxyomenos|[希]“擦光”(雕像名, 表现一个年轻运动员在格斗之后刮擦自己的身体, 现存于梵蒂冈, 常用作希腊海伦时代开始时雕塑风格转变的范例)
ameliorated|改善；减轻（痛苦等）；改良
acetylative|acetylate的变形
abridgment|删节, 删节本, 缩短, 限制
astringency|收敛性, 涩味, 严厉
adoptious|[古语]＝ adopted
ain|（苏格兰）自己的
ataxite|镍铁陨石
aliquant|除不尽的数
actualness|actual的变形
akron|阿克隆黄铜；亚克朗市（美国俄亥俄州）
advertizer|做广告者, 广告客户
atopite|黄锑酸钙石
aerograms|无线电报；航空邮件
anhingas|美洲蛇鸟
anthelion|幻日
antimalarial|[化] 抗疟的; 抗疟药
assembles|集合, 收集( assemble的第三人称单数 ); 装配, 组合
alphabetizer|alphabetize的变形
alastair|阿拉斯泰尔(m.)
adret|山的向阳面
authorship|原作者, 根源, 原创造者
aweary|疲倦的
aerogram|无线电报, 航空邮简
antroscopy|[医] 窦透照术, 上颌窦镜检查
alantin|(=inulin)大木香粉, 菊粉
algidness|algid的变形
alizarin|茜素
antimaniacal|[医] 抗躁狂的
antimasque|(带面具的)滑稽戏
antisteapsin|[医] 抗胰[脂]酶
alouette|Canadian satellite for ionospheric data 加拿大电离层数据研究卫星（代号）
abend|[计] 异常结束, 任务异常结束
aciform|尖如针的
anni|安妮（女子名）
azofication|固氮作用
acceptation|词的通用意义, 赞同, 承认
armyworms|粘虫；[植保] 行军虫
affranchise|恢复自由, 给予公民权
adjusters|调停者, 调节器( adjuster的复数形式 )
altitudinous|altitude的变形
autodialers|自动拨号器
asbolane|[化] 钴土
alloying|炼制合金, 加入合金成分
assented|同意, 赞成( assent的过去式和过去分词 )
aquaplane|滑水板
allosome|异染色体
anguishes|（尤指心理上的）极度的痛苦( anguish的第三人称单数 )
abstemious|有节制的, 节约的
aurum|金
alexipharmic|解毒的
antireaction|反馈[回授]消除
apportioning|分配, 分派；分摊
ascanius|阿斯卡尼俄斯(古罗马诗人维吉尔所著拉丁史诗《伊尼特》中主人公 Aeneas 之子,意大利 Alba Longa 城的创建者)
apostatized|变节, 脱党；放弃信仰
aerialist|高空杂技演员
appestat|食欲中枢
albitophyre|钠长斑岩
auspicating|开张；举行…开幕礼
acuclosure|[医] 针止血法
actinology|[物]光(或射线)化学,放射线学
arseniureted|[化]砷化的
antapex|背点
aquicultural|(=aquacultural)溶液培养的, 水栽法的
aphorismic|aphorism的变形
astragalus|距骨, 黄芪属
alarmists|大惊小怪者, 杞人忧天者( alarmist的复数形式 )
addrest|(ADDR 的最高级) [计] 加法器, 地址, 编址
augustin|奥古斯汀（人名）
acrolithic|acrolith的变形
alkalify|使成碱性
acetifies|（使）醋化, （使）变酸( acetify的第三人称单数 )
acoustics|音响效果, 声学
andiron|薪架
arthrophyma|[医] 关节肿大
abbr|abbreviation 缩写
airspace|空域, 空间
antifeminist|& n.反对女权主义的(人),反男女平等主义的(人)
amyloclastic|(=amylolytic)能分解淀粉的
acridity|辛辣, 刻薄
achira|姜芋
adhered|坚持；粘附；依附（adhere的过去分词）
apophysis|骨突, 蒴托
autoplastic|[医]自体移植的, 自体成形术的
adiposis|[医]肥胖病
alunogen|[化] 水硫酸铝石
antedating|前发；日期填早
arcidae|[网络] 魁蛤科；蚶科
autotoxemia|[医] 自体中毒
aporias|(aporia 的复数) [医] 窘迫, 困惑
abutting|邻接的
alpenstock|铁头登山杖
anhydremia|缺水血症
australians|澳大利亚人( Australian的复数形式 )
airmobile|空中机动部队的
auxetic|细胞增大剂
astragal|[建](柱头处)圈线,[解]距骨
aftereffect|余波, 后效, 后果
adages|(adage 的复数) n. 格言, 谚语
aunthood|阿姨；姑妈；伯母；舅妈 (aunt的变形)
ankylomerism|[医] [各部]互[相]粘[连]
amorality|超道德, 非道德；道德无涉性
ambrosiac|麝香气
araneidal|araneid的变形
abdicating|退位；放弃
abstersive|使洁净的, 去垢的
abundances|(abundance 的复数) n. 丰富, 充足, 大量
albespine|英国山楂, 英国山楂的木材
aerially|在空中, 象空气一样, 空想地
auriculars|[医]耳羽
abstemiously|适中地; 有节制地; 适度地
ambulators|[测] 测距仪；测程轮
arne|阿恩(①姓氏, 男子名 ②Thomas Augustine, 1710-1778, 英国作曲家)
abomasus|[医] 皱胃
alcosol|醇溶胶
antimere|对称部分, 体辐
ametropic|[医] 屈光不正的, 变常眼的
averroist|Averroism,Averrhoism的变形
attainments|成就, 造诣
acronyx|嵌甲
albescence|albescent的变形
alberich|(德国神话中的)矮子国国王,尼伯龙之首领
arn|[苏]桤木
algarroba|[植]角豆树, 牧豆树
analogise|以类推来说明, 类推
anazoturia|[医] 缺氮尿
affrighting|惊吓；恐怖
ameen|(Ameen)人名；(阿拉伯、毛里求)阿明
affirmer|[网络] 宣告者
apneumatosis|[医] 肺无气, 先天肺膨胀不全
albacore|青花鱼科的海产鱼
androsin|[化] 草夹竹桃苷
arrant|声名狼藉的, 极恶的, 完全的
attuned|使协调( attune的过去式和过去分词 ); <音>调音
allision|一艘船被另一艘船撞之情形
allophonic|音位变体的；同位音的；音子的
amaranth|不凋花, 苋属植物, 紫红色
abridged|删节的；削减的
awmous|[单复同]n.<苏格兰>施舍物
afterburning|[机] 后燃
austemper|奥氏体回火, 等温淬火
arsenization|砷疗法
acouchy|【动物】长尾刺鼠
aquanaut|海底观察员, 海底实验室工作人员
acle|阿克来
ateliotic|发育不全的
anthological|选集的, 文选的；[废语]花学的, 花谱的
anatole|阿纳托尔(m.)
alkaliferous|含碱的
arba|美国兔仔繁殖者协会（American rabbit breeders' association）
airdromes|飞机场, 机场( airdrome的名词复数 )
alveoli|pl. 肺泡, (小)槽, (小)泡, 小窝, 巢房, 牙槽
adenoidal|腺样的
almswoman|受救济的女人, 受施舍的女人
adenine|腺嘌呤
anapaest|<英>抑抑扬格, 短短长格
armipotent|兵力强大的, 军备充实的
acetize|【化学】酸化；变酸
astronautic|太空航行的, 太空航行员的
arkoses|(arkose 的第三人称 -s形式) n.[地]长石砂岩
autopathy|自发病
anabolin|合成代谢产物, 同化产物
ametaboly|无变态的
acted|行动（act的过去分词）；行使…职能；扮演角色
autospray|自身喷雾器
arrowheaded|箭头形的
apx|补遗（appendix）
arches|弓形；拱桥（arch的复数形式）
amire|automatic diagnostic maintenance information retrieval 自动诊断维护信息检索
abstains|戒（尤指酒）, 戒除( abstain的第三人称单数 ); 弃权（不投票）
afghans|阿富汗人, 阿富汗语, 阿富汗毛毯( Afghan的复数形式 )
abed|在床上
afront|在前面, 在对面
ase|美国证券交易所（American Stock Exchange）；机载搜索设备（Airborne Search （Support） Equipment）
auxotroph|营养缺陷型, 营养缺陷体
ampangabeite|钶钛铁铀矿, 铌钇矿
admass|易受广告影响的群众
aquitanian|[地质] 阿启塔阶
ascaridol|驱蛔素
academie|爱琪美
aldermancy|市议员；总督；市府参事；高级市政官 (alderman的变形)
ascriptive|可归因于…的; 涉及原因（或责任）归属问题的
amicrobic|无菌的, 非微生物性的, 无微生物的
arterin|[医] 动脉血红蛋白, 氧合血红蛋白
asst|帮助, 援助（assistant）；助理（assistant）
allocatur|费用查定证
amylase|淀粉酶
apostille|旁注
amphicrania|[医]两侧头痛
archigenesis|非生物起源
acrogenous|顶生的
andrena|[网络] 地蜂属；地花蜂属
arte|海军部反应堆试验研究所（Admiralty Reactor Test Establishment）；欧洲文化电视台（Association Relative à la Télévision Européenne）
autosuggest|通过自我暗示产生(或去掉、支配)
autoecic|[医] 同种寄生的, 终生寄生的
accessorial|附属的, 增加的
artisanal|手工艺性的
anatomist|解剖学家
achillein|[医] 洋蓍草素
auricularia|耳状幼体
aeroelastics|气动弹性力学
ampholyte|两性电解质
argema|[医] 角膜缘溃疡
acidulant|酸化剂
artily|arty的变形
abdicant|退位者
antiprotease|[医] 抗蛋白酶
atlantes|[建](用以支撑柱顶线盘的)男人形象的柱子
attent|[古]注意的, 留意的
animalness|动物 (animal的变形)
attar|香精油, 玫瑰油
apiculated|【植物学】(叶子)顶部细尖的
anglian|盎格鲁族之方言, 盎格鲁族人
abstinence|节制, 禁欲, 戒酒
alochia|[医] 无恶露
allergia|[医] 变应性
allobar|[核]同素异重体
afterimages|(afterimage 的复数) n. 余象
aciculum|足刺(多毛类)
assorts|把…分类( assort的第三人称单数 ); 相配; 相称; 交际
adoration|崇拜, 爱慕
anatomical|解剖的, 解剖学的, 构造上的
abbess|女修道院院长
actuators|(actuator 的复数) n. 开动者, 激励者, 致动器
adverbialize|将一个字或词语变为副词
aurorae|北极光, 南极光, 黎明; 晨曦( aurora的名词复数 ); 曙光; 朝霞; 北极光
alternator|交流发电机
androgenic|[医] 生男性征的, 产生雄性征的
avenger|复仇者
annoys|打扰( annoy的第三人称单数 ); 干扰; 使烦恼; 使恼怒
abjuratory|abjure的变形
ammonate|[化] 氨合物; 氨络物
aficionado|狂热爱好者, 迷
att|[计] 异常真测试, 地址转换表, 总平均时间
agomphious|[医] 无牙的, 缺牙的
annas|[人名] 安纳斯
accueil|[法语]接待处；招待
alulet|翅瓣
agonizes|使（极度）痛苦, 折磨( agonize的第三人称单数 ); 苦斗; 苦苦思索; 感到极度痛苦
astride|跨着
atlantoaxial|寰枢的
aphorizing|用格言说话（写作）( aphorize的现在分词 )
anemia|贫血, 贫血症, 无活力
awny|有芒的
avellan|(纹章上的十字)四臂榛果形的
amorist|谈情说爱者, 言情小说作者
apotheoses|神化；崇拜, 颂扬；尊奉为神 (apotheosis的变形)
alleyed|(庭院、花园或公园两边有树篱的)小径, 林间小径, 小路；【滚木球戏】
arbovirus|[微]虫媒病毒,(蚊虫等)节肢动物传染病毒
anglistics|英语学
antlion|蚁狮
arthropoda|[医] 节肢动物门
autogyro|旋翼飞机
avengers|复仇者(avenger的复数)
acarinosis|[医] 螨病, 壁虱病
autophony|[医] 自声强听, 自声过强
aqualung|水中呼吸器
affiliating|联号；隶属的机构等
aeroacoustic|空气声学的
adjoiner|邻接处; 接合部
abstrict|[植](使)缢离
aleuronat|麦蛋白, 除去大部分淀粉的麦粉
asbolin|[医] 烟煤油, 松根油
alexipyretic|[医] 退热的, 退热药
apogenous|与无配子生殖有关的, 引起无配子生殖的, 无生殖机能的
abstrusely|难懂, 深奥, 难解
ampliate|广大的；放大的
antistrophe|对照乐节, 反用
aglucone|[化] 配基; 糖苷配基; 配质; 苷元; 甙元(葡糖苷之非糖部)
autohypnotic|[医] 自我催眠的; 自我催眠者
auget|[采矿]雷管, 引爆管
animately|活着地
aphetic|非重读字首之消失的
allaying|减轻；使缓和；使平静
anlage|原基, 倾向
auditorial|审计的, 审计员的, 通过听觉的
antipruritic|止痒剂
adipocyte|脂肪细胞
azine|[化] 二氮陆圜
atlantides|[网络] 亚特兰提斯
alphas|透明（度）( Alpha的复数形式 ); [人名] 阿尔法; [地名] [澳大利亚、美国、南非共和国] 阿尔法; 希腊字母的第一个字母( alpha的复数形式 )
anthills|(anthill 的复数) n. 蚁冢, 人群密集的地方
amu|[电] 原子量单位的缩写
asymptomatic|无症状的
anaglypta|安那利普特（凸纹）壁纸；浮雕壁纸
acetosoluble|可溶于醋酸的
amontillado|白葡萄酒
astrosphere|中心球, 地核
aluminizes|以铝覆盖, 以铝处理（aluminize的第三人称单数形式）
agamogony|[医] 无性生殖期, 裂殖生殖期
arkansans|阿肯色州人
ageless|不老的, 永恒的
aguinaldo|(Aguinaldo)人名；(西、葡)阿吉纳尔多
ashery|堆灰场, 钾碱厂
amoret|相思结, 同心结；爱慕的一瞥；秋波
annule|环带
anodes|阳极( anode的复数形式 )
apiary|养蜂场
antara|安德拉（汽车品牌）；安塔拉（通讯社名）
atopy|[医]遗传性过敏症
aliasing|[计] 别名使用, 别名的命名
annualize|[经] 年度基础换算
adstipulator|[法] 债权代理人
allele|[医] 等位基因, 对偶基因
acockbill|吊锚状态的
alesan|牛奶咖啡色, 法国肉色
albuminoidal|albuminoid的变形
airiest|空气的( airy的最高级 ); 空中的; 轻快的; 通风的
alkalinize|[化](使)碱化,(使) 成碱性
atelectatic|[医]肺膨胀不全的
adeption|[经] 取消遗嘱赠予
avogram|[力]阿伏克
autocratical|独裁的, 独断独行的, 专制的
asserter|断言者, 维护者
allomorphism|(=allomerphism)同质异晶(现象)
amarna|（古埃及）阿马尔那；阿玛那
asperges|洒圣水礼
abilene|阿比林（美国城市）
artus|[医] 关节; 肢节
abridger|abridge的变形
arbiters|仲裁人, 裁决者( arbiter的复数形式 )
acromion|[解剖]肩峰
anadenia|[医]腺功能不健全, 腺缺失
albuminize|使蛋白化
armaments|军备(armament的复数形式); 武器装备
antioxygen|[医] 抗氧[化]剂, 阻氧化剂
adjectivally|作形容词用地；形容词般地
animize|[网络] 动画
aposepalous|离萼(片)的
aspirins|阿司匹林
anamniotic|[医] 无羊膜的
accostable|易接近的
alkaloidal|[医] 生物硷的
arteriotome|[医] 动脉刀
alkyne|炔
archdeacon|领班神父, (英国国教会)会吏总
antidiuretic|制尿
amphictyonic|近邻同盟的
argos|阿哥斯（希腊东南一古城）
anosmia|嗅觉缺失症
apyrexia|无热, 发热间歇期
amish|孟诺教派；孟诺教派之教徒
alicyclic|[化]脂环族的
anglophilia|[常作a-]亲英, 英国崇拜
amassed|积聚, 积累
ascertained|确定（ascertain的过去式）；查明
aclinic|无倾角的, 水平的
amt|数量, 总额（amount）
abrine|红豆碱, N-甲基色氨酸
anthecology|花生态学
animatistic|[网络] 动画化
aphanisia|消失器官
arbustum|灌木
alexian|亚历克修斯修士会会员
ambagious|迂远的, 迂曲的
adage|格言, 谚语
amphion|[希神]安菲翁(宙斯之子)
acct|美国挑战性课程技术协会（Association for Challenge Course Technology）；帐目（account）
amnesias|(amnesia 的复数) n. 健忘症, 记忆缺失
askable|[计] 可询问的
abysses|深渊( abyss的复数形式 ); （智力等方面的）深邃; (the ～)地狱; 海洋深处
ambrite|[机] 新西兰产的一种沥青产品
afara|（西非）榄仁树
armenite|(=azurite)蓝铜矿(石青), 钡钙沸石
arabitol|[化] 阿糖醇
alps|阿尔卑斯山脉
acacian|adj. 有关东西基督教教会分裂的
allocatee|分配者, 受分配者
advowsons|(advowson 的复数) n.(英国法律)受俸牧师推荐权
azulejos|(azulejo 的复数) (常为蓝色用于摩尔式建筑的)上光花砖
autobahns|（德国的）高速公路；干线道路
azobenzol|[化]偶氮苯
anisoyl|茴香酰, 甲氧苯酰
autobuses|公共汽车；巴士
adjusting|[计] 调准
autogeny|无生源说
anthracnosis|[医] 黑腐病, 炭疽病(植)
arbalests|(arbalest 的复数) n.(中世纪的)劲弩
antithetical|对立的, 正相反的
afoot|徒步的, 在进行中的, 活动中的
airframes|(airframe 的复数) n. 机身
anatomise|解剖, 解析
aetiologies|(aetiology 的复数) n. 原因的说明, 原因论, 病原学, 病原
avians|adj. 鸟的；鸟类的
angionosis|[医] 血管病
arthritics|关节炎的
amorphously|无定形地（amorphous的变体）; 无一定方向（或目的）地（amorphous的变体）
adscript|后写的
appalls|(appall 的第三人称 -s形式) vt. 使丧胆, 使惊骇
arabite|阿拉伯糖醇
acetonemia|[医] 丙酮血[症]
aday|(Aday)人名；(土)阿达伊
althing|阿尔庭（立法议会名）
answerable|有责任的, 可回答的
adnation|[动][植]合生,侧生
anisaldoxime|[化] 茴香肟
avouches|断言；保证
appointive|任命的
amex|美国证券交易所
automatics|[计] 自动学, 自动装置, 自动化理论
anniellidae|北美蛇蜥科
annoyances|恼怒( annoyance的复数形式 ); 烦恼; 打扰; 使人烦恼的事
abaft|在船尾, 向船尾
alcazar|城堡
apostle|基督十二使徒之一, 早期基督教传士
angiomyoma|[医] 血管肌瘤
amphetamine|苯丙胺, 安非他明
autoclaving|[医] 高压灭菌法
ambulacrum|[动]步带
agnean|阿格尼恩语(印欧语族的一支)
aspidium|[化] 绵马
alcoves|凹室( alcove的复数形式 ); （花园）凉亭; <古>僻静处; 壁龛
amplectant|攀附的
actuals|[经] 实际货物
ankyroid|[医] 钩样的
assorter|服装配件工
averageness|平均数；平均水平；平庸
acclivous|倾斜的, 向上斜的
androgamone|[化] 雄性交配素
amoebean|对答体的
alphameric|[计] 字母数字的
aulostomus|[网络] 管口鱼科；管口鱼属
abos|(ABO 的复数) [医] ABO分型法(血型)
autotroph|[生]自养生物,靠无机物质生存的生物
affixion|[拉]粘连, 粘着, 添加
anoopsia|[医]上斜视
amphitoky|[医] 单体两性生殖
argentan|[医] 新银, 白铜
acervuli|[医] 脑沙, 松果体石
amphigonium|[医] 两性生殖期(疟原虫在蚊体内)
asterisked|加星号于( asterisk的过去式和过去分词 )
auriferous|产金的, 含金的
aposporous|无孢子生殖的
apophysary|[医] 骨突的
anisal|[化] 甲氧苯亚甲基
acetose|酸的, 醋一样酸的
acheilous|[医] 无唇的
agamid|[动]飞龙科蜥蜴
adipsia|[医]渴感缺乏
allegoristic|adj. 写寓言的，用寓言比喻的；寓言的；比喻的
atheistical|无神论的, 无神论者的
anophoria|上隐斜视
annexation|合并, 附加, 附加物
antiaircraft|防空的
arthrodial|[医] 摩动关节的
alembicate|[网络] 暧昧
asepticism|[医] 无菌外科学说
amethyst|紫水晶, 紫蓝色宝石
addlehead|傻瓜, 糊涂虫
albronze|(=aluminium-bronze)铝青铜, 铜铝合金
appraiser|评价人, 鉴定人, 估价人
anisylidene|[机] 茴香叉
ataractic|镇静剂, 安定药
astrakanite|白钠镁矾
anharmonic|不和谐的；非调和的
amoeboid|似变形虫的
andorran|安道尔[人,语]的
alcids|【鸟类】
amortizes|<商>分期偿还（债务）( amortize的第三人称单数 )
ascertains|弄清, 确定, 查明( ascertain的第三人称单数 )
apiology|蜜蜂学
aftercare|病后的照顾调养, 释放后的安置
atrip|起锚
asterixis|扑翼样震颤
afflux|流向, 汇入
aeneolithic|[亦作a-]=Chalcolithic
adulterate|掺杂
alulae|alula的复数形
avionic|航空电子学的
ascensor|竖式缆索铁路
antheridia|精子囊
absenting|缺席, 不参加, 不在( absent的现在分词 )
aphelion|远日点
aepyceros|黑斑羚属
affirming|肯定；断言
adaptivity|[计] 自适应性
adventurism|冒险主义
appendectomy|阑尾切除术
achaean|亚加亚的, 希腊的
aladdin|阿拉丁
alethea|阿勒西娅(f.)
appendices|pl. 附录, 附加物, 阑尾
absorptive|吸收性的, 有吸收力的
amniotin|[医] 安尼奥廷(含雌性激素物质的油剂,用如雌酮)
antivenins|抗蛇毒素；抗蛇毒血清
aas|[计] 先进管理系统
acidifiable|[医] 可酸化的
assuringly|保证地;确信地
assassinator|刺客
amphiplatyan|两端平的; 双平型
apprehending|领会理解；逮捕（apprehend的现在分词）
afros|非洲式发型（Afro的复数 ）
autogamic|自花受粉的
ammonified|加氨于, 使氨化( ammonify的过去式和过去分词 )
archbishops|（基督教会的）大主教( archbishop的复数形式 )
achymous|[医] 食糜缺乏的
arkansawyer|[美]阿肯色州 人(绰号)
alkalescency|[化] 微碱性
alloclasite|[化] 杂硫铋砷钴矿
anodynia|无痛, 痛觉缺乏
anorchism|[医] 无睾[畸形]
aftershave|须后水；修脸润肤露
acidimeter|酸比重计
amoebic|变形虫的, 变形虫状的
aqueous|水的, 似水的, 水成的
artefacts|人工制品（尤指有考古价值的工具或武器）( artefact的复数形式 )
ampere|安培
actinias|海葵, 海葵属
aglossal|【病理学】无舌的
aurichalcite|绿铜锌矿
acetopyrine|[药]乙酰比林
antigen|抗原
acanthion|[医] 鼻前棘点
amelus|[医] 无肢畸胎, 缺肢畸胎
asaprol|[化] β-萘酚-α-磺酸钙
aliso|阿里索桤木
anteceded|先前, 先行( antecede的过去式和过去分词 )
avengement|报仇, 复仇
amorphinism|吗啡瘾(状态)
abaciscus|嵌饰, 嵌工用的石[瓦]
adeling|阿黛尔(女子名)[Adlea的异体]
adenomatome|[医] 腺瘤刀
acholia|无胆汁(症)
aspalathus|[网络] 阿司巴拉妥
alternaria|[医] 链格孢属
anguine|蛇的, 似蛇的
aquae|[医] 水, 水剂
adsorbs|吸附( adsorb的第三人称单数 )
accelerando|[乐]渐速的
armlets|(armlet 的复数) n. 臂章, 臂钏, 小海湾
autocamp|汽车宿营地
aerogenic|产气的(细菌因新陈代谢产生的气体)的
agrestial|农田中野生的
amphibrach|[语]短长短格
adjourns|（使）休会, （使）休庭( adjourn的第三人称单数 )
abnegating|放弃；舍弃；禁忌
antispadix|反茎化锥
allgood|奥尔古德（人名）
abashes|使羞愧, 使局促, 使窘迫( abash的第三人称单数 )
atry|顶浪
aqueducts|沟渠( aqueduct的复数形式 ); 引水渠; 导水管; 高架渠
achlorhydric|[医]盐酸缺乏的
adelomorphic|隐形的
apollonia|[医]牙科医学的守护神; [地名] [利比亚] 阿波罗尼亚（苏塞港的古称）; [地名] [阿尔巴尼亚、希腊] 阿波罗尼亚
adulterating|搀加的
arkose|[地]长石砂岩
arthroses|pl. 关节, 关节病
antifebrile|退热的
agnates|(agnate 的第三人称 -s形式) a. 男方亲属的, 宗族的
acidulent|【化学】酸化剂 (＝acidulant)
apotheosize|尊崇为神, 奉为神明, 神化
abrasive|研磨料
astron|天体器（美国热核装置名称）；阿斯特朗（品牌名）
argusianus|[网络] 大跟斑雉属；大眼斑雉属
antebrachial|[医] 前臂的
antipolo|菲律宾面包果树皮纤维
aquatinter|凹版腐蚀制版法 (aquatint的变形)
avouching|<古, 文>保证, 断言, 承认( avouch的现在分词 )
achalasia|[医]弛缓不能
angiospastic|[医] 血管痉挛的
anisotropic|[计] 各向异性的, 非均质的, 不均衡的
aquila|天鹰座；亚桂拉（意大利中部城市）
amphorae|双耳细颈椭圆土罐( amphora的名词复数 )
aircrewman|(飞机上的)空勤组员
anglicized|英语化
angers|激怒（anger的三单形式）
anno|[拉]伊斯兰教纪元
acidogenic|引起酸化的
aly|(Aly)人名；(德、英、法、葡)阿利；(哈萨、乌兹、吉尔、塔吉、俄)阿雷；(几、阿拉伯)阿里
arsenoxide|氧化砷
arylation|芳基化(作用)
atomology|原子论
appetent|热望的, 意欲的
anacathartic|[医] 剧吐的
arthralgic|[医]关节痛的
actualizes|实现, 实施( actualize的第三人称单数 )
aspires|渴望, 追求( aspire的第三人称单数 )
anthyllis|[医] 治伤绒毛花, 洋绒毛花, 美洲绒毛花
affectable|影响的
agua|阿瓜（人名）
abjudge|放弃(对案件的)裁定, 不予判决, 消(案), 取消
antiarin|弩箭子甙(见血封喉树的有毒成分)
aerodrome|飞机场, 机场
antimonopoly|反垄断；防止(或消除)垄断
acervation|acervate的变形
australasian|澳大拉西亚的
aldehydine|[化] 乙基甲基吡啶
avogadro|阿佛加德罗（意大利科学家）
