read|读
resistivity|抵抗力, 电阻系数
recolonizing|(recolonize 的现在分词) v.开拓殖民地, 再度移民到...
risker|冒险者, 投机者
reserver|保留
rotte|死记硬背, 机械的做法, 生搬硬套
recoupment|[经] 赔偿, 补偿, 偿还
routier|[人名] 鲁捷
remarker|注意；言辞 (remark的变形)
rebroadcasts|转播, 重播（rebroadcast的第三人称单数形式）
rix|里克斯（男子名）；一种音乐形式
rufus|鲁弗斯（男子名）
reinsert|再插入, 重新插入
regreen|, vi. (尤指经过战争、滥伐树木、露天开矿之后)使重新绿化；恢复绿化生机；(果实成熟后)返绿
razorfish|[医]离鳍鱼
resistate|抗蚀残积
retards|使减速( retard的第三人称单数 ); 妨碍; 阻止; 推迟
rabbits|兔子；穴兔（rabbit的复数）
roon|[人名] 鲁恩
rurally|乡下地；农村风味地
reunites|（使某人或某物）再次联合, 重聚( reunite的第三人称单数 )
reechoed|再反回响, 使回响( reecho的过去式和过去分词 )
refutation|反驳, 辩驳, 反驳的证据
rimrock|顶岩
rabbinate|犹太法学博士的身份[职位], 犹太法学博士们
reparative|修缮的, 修复的, 赔偿的, 弥补的
retsina|松香味希腊葡萄酒
raring|渴望的, 急切的
relativist|相对论者, 相对主义者
rehire|[法] 再雇用
rumpot|酒徒, 醉汉
regranted|(regrant 的过去时) v.再次同意, 重新批准
regorges|倒流( regorge的第三人称单数 )
rhizine|[植]根部
ringlet|长鬈发, 小圈, 小环
reteporidae|网孔苔虫科
rinds|（瓜、果等的）皮( rind的复数形式 ); 外皮; （干酪等）外皮; 硬皮
rascette|腕纹
resiliometer|弹力计
receivership|[经] 清算人(接收人)办公室, 清算人职能
rightfulness|公正, 合理
roils|搅混（液体）( roil的第三人称单数 ); 使烦恼; 使不安; 使生气
rill|小河, 细流, 小溪
reoxidation|[医] 再氧化
readjustment|再整理, (使)重新进入正常状态/正常位置, 再调整, (使)重新适应
rigourism|严格的作风, 严峻的作风
reselect|[计][WIN]重选
retinospora|[植] 扁柏属植物, 金钟柏属植物
riddlemeree|胡言乱语
ritzy|豪华的, 时髦的, 讲究的
ratteens|(ratteen 的复数) n.=ratiné[变体]
rachigraph|脊柱描记器
reconcilable|可和解的, 可调和的, 能取得一致的
recidivate|复返, 再犯
reasonless|无理性的, 不明道理的, 不合理的
rachet|救护车；棘轮, 棘齿
ricercars|(ricercar 的复数) n. 寻觅曲(16-17世纪一种练习曲的意大利文标题)
reinvents|（在不知他人以发明的情况下）重复发明, 彻底改造, 重新使用( reinvent的第三人称单数 )
riced|筛选（rice的过去式与过去分词形式）
rascalism|流氓行为, 恶事
revisal|校订, 订正, 修正
rephotograph|重拍
rebec|(中世纪时弹奏的)三弦琴
rebus|谜, 画谜
reperforator|[计] 复穿孔机
rankled|（使）痛苦不已, （使）怨恨不已( rankle的过去式和过去分词 )
redig|[地名] [美国] 雷迪格
reinstalling|使重新正式就职, 重新设置( reinstall的现在分词 )
recounter|recount的变形
raanan|[人名] 拉阿南
ramiflorous|[医]枝花的
rectogenital|[医] 直肠生殖器的
rentability|[经] 营利性, 收益性
rungs|梯级（rung的复数形式）
rehair|[网络] 茂茸
reassertion|再主张
rhizogenic|[植] 生根的, 长根的
revamp|换新鞋面, 修理, 修补, 修改
reprinter|reprint的变形
roughdry|晾干而不烫平
roseate|玫瑰色的
rousers|(rouser 的复数) n. 唤醒者, 搅拌器, 弥天大谎
radulae|（软体动物的）齿舌( radula的名词复数 )
reniform|肾脏形的
rinker|溜冰者
refueled|加燃料（中途加油；反应堆燃料更换）
runover|超过篇幅的排印材料, 转页部分
rectangled|直角的
rarify|使成精细；使变稀薄
rapt|全神贯注的, 入迷的, 出神的
rabbling|[机] 搅拌
rigidness|坚硬, 劲直
retractible|可收回的
rewater|再浇水, 再浸入水中
rimmed|有...边缘的
rhinoscopy|照鼻镜检查
reminiscer|reminisce的变形
revulsant|[医] 诱导剂
rhinoptera|[网络] 牛鼻鱝属；牛鼻鲼属
reinhard|(Reinhard)人名；(法)雷纳尔；(英)莱因哈德；(德、捷、瑞典)赖因哈德
regrooving|再次刻纹
ratlins|横索的梯绳
ratiocinator|ratiocinate的变形
rhodeoretin|[医] 万年青糖
rathskeller|地下室啤酒间, 地下室餐厅
rakishness|轻盈
rinderpest|牛疫
rilled|(rill 的过去时) n. 小河, 细流, 小溪
russety|枯叶色的, 红褐色的
rushlike|像灯心草的
retiringness|孤僻, 害羞
runabout|敞篷小轿车, 流浪者
rudeness|无礼；粗蛮
raze|毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏
reina|雷纳
rimers|(rimer 的复数) [机] 绞刀
rootlessness|无根的；无归属的, 无根据的
remarried|再婚( remarry的过去式和过去分词 ); 与某人复婚
retransfer|重新传送
rezone|再分区
rostrum|讲坛, 演讲台, 演讲, 演讲者
rhynchonella|小咀贝；小咀蜿
ribbers|(ribber 的复数)  罗纹机
resurrects|使复活( resurrect的第三人称单数 ); 使复苏; 使再活跃; 使再流行
recitatif|背诵的, 吟诵的, 叙述的
reinette|香蕉苹果, 斑皮苹果
revisionists|修正主义者
ricebird|禾雀, 食米鸟
rowdier|好争吵的, 吵闹的( rowdy的比较级 )
replacer|[法] 代替者, 代用品
rawinsonde|无线电高空测候仪, 雷达气球
reinflated|（使）再膨胀( reinflate的过去式和过去分词 )
repressure|[网络] 压抑
ramillies|[地名] [比利时] 拉米伊
reinsurance|再保险, 再保险金额
respell|再拼写
requisites|必要的事物( requisite的复数形式 )
reproacher|责难者, 责备者
revetment|护墙, 障壁, 护岸
reappearing|再（出）现( reappear的现在分词 )
righten|使恢复正常, 整顿
recenter|重定位；回到中心位置
renderer|渲染器; 描绘器
romp|喧闹游玩, 顽皮女孩
rebeldom|[总称]起义者, 叛乱者,叛区
regina|女王
ruptured|破裂的
readdressing|[计] 再编址, 再寻址
recognizer|承认者
rudiments|基础, 初步, 基本原理, 入门, 雏形, 萌芽
radiances|(radiance 的复数) n. 光辉, 发光, 容光焕发
resupply|再供给, 再补给
riotousness|狂欢, 放荡
revises|修正；改订
rhinologist|[医] 鼻科学家
rareripe|早熟的
revisionary|修订的, 校订的, 修改的, 修正的
rhythmics|韵律研究, 韵律论
rotameter|转子流量计, 转式测速仪
repacify|再平息, 再安抚
regreets|再问候；回敬
rackety|喧扰的, 喧闹的, 寻欢作乐的
reaps|收割庄稼, 收获( reap的第三人称单数 ); （因自己或他人所为）获得（某事物）
registrate|【音乐】调整音栓；选择音域
rinaldo|(Rinaldo)人名；(英、法、俄、西、意、瑞典)里纳尔多
roundly|圆圆地, 直率地, 严厉地, 全面地
ruing|对…感到后悔( rue的现在分词 ); 活羊拔毛
recks|(reck 的复数) vt. 介意, 和...相关
redemptory|买回的,收回的,赎回[赎身], 折旧的
retortive|retort的变形
redlined|(redline 的过去分词) vi.对某社团进行经济歧视, 按安全飞行速度驾驶飞机
redcoats|英国军人的
recapitalize|调整...的资本
reappraises|重新评估, 重新评价( reappraise的第三人称单数 )
reenact|重新制定, 再扮演
rollable|roll的变形
reconsiders|重新考虑( reconsider的第三人称单数 )
refinancing|[经] 重新集资金
recuperating|恢复（健康、体力等）, 复原( recuperate的现在分词 )
rajesh|拉杰什（印度出口公司）
renegade|背教者, 变节者, 脱党者
resiniferous|产树脂的, 含树脂的
rabietic|[医] 狂犬病的, 咬病的
retzian|羟砷钙钇锰矿
recutting|(recut 的现在分词) v. 再切, 重切
rhizophagous|以根为食的, 吃根的
rondure|圆形物, 优美弧度
remanding|<律>将…还押候审( remand的现在分词 ); 将…发回重审
remedially|治疗地, 矫正地
riving|猛地劈开[撕开]( rive的现在分词 ); 劈开（木头或石头）
reinvestment|[经] 再投资
rivered|有河流的
roughdried|晾干但不烫平
rodger|罗杰(亦作Roger)(m.)
roofing|盖屋顶
renegado|<古>=renegade
rescattering|二次散射; 重散射
rowlocks|桨架( rowlock的复数形式 )
ratfink|卑鄙的人
rosella|[医] 风疹, 流行性蔷薇疹
refractions|(refraction 的复数) n. 折光, 折射
revitalized|使恢复元气, 使具有新的活力( revitalize的过去式和过去分词 )
rhodophyceae|红藻门
rheotron|[物](=betatron)电子感应加速器, 电磁感应加速器, 电子回旋加速器, 通用流变仪
racecourses|赛马跑道, 赛马场( racecourse的复数形式 ); （赛马、赛车、赛跑的）跑道
recreancy|胆小, 怯懦, 不忠
relatival|关系词的
reencourage|再鼓励,再支持
rhizophorous|根托的
ruralizing|使农村化, 在农村居住( ruralize的现在分词 )
rostriferous|[生]有喙的
rode|ride的过去式
reduviidae|[医] 猎蝽科
rockiest|多岩石的( rocky的最高级 ); 坚如磐石的; 摇摆的; 摇晃的
reliefs|轻松( relief的复数形式 ); （给灾区或交战地区人民提供的）救济; 浮雕; （痛苦等）缓解
rog|货已收到, 凭单（Receipt Of Goods）
revehent|[解]输回( 血) 的, 运回( 血液) 的
rebaptized|(rebaptize 的过去分词) v.为...再施洗, 为...再命名
replay|重新比赛, 重演
ramiform|枝状的, 有分枝的
repugned|反对, 反抗( repugn的过去式和过去分词 )
rhymist|诗人, 打油诗作者
redescribing|(redescribe 的现在分词) v.重新描述, 完全重新描述
rumple|弄皱, 弄得乱七八糟
riverlike|adj. 像河的，如同河一般的
rigorist|作风严肃的人, 要求严格的人
robur|[植] 栎树(一种中大型的乔木)
retrorectal|[医] 直肠后的
renewed|复兴的；更新的；重建的
radula|齿舌
residing|居住( reside的现在分词 ); 定居; 驻扎; 属于
rabbitry|养兔场, 兔群
reelects|重选( reelect的第三人称单数 )
retinerved|具网脉的
reradiated|再辐射( reradiate的过去式和过去分词 )
ruderal|杂草
reveling|狂欢；陶醉
rationalists|唯理论者, 理性主义者( rationalist的复数形式 )
rti|respiratory tract infection 呼吸道感染; rotor temperature indicator 转子温度指示器; rotor temperature indicastor 转子温度计; rise time indicator 上升时间指示器
rhapis|棕竹属
reliction|水位渐消退, 新生地
rebated|(rebate 的过去时) n. 部分退款, 折扣
rouster|码头工人, 甲板水手
reemission|再发射, 重发射
retemper|[化] 再次回火
reorients|使适应, 再教育( reorient的第三人称单数 )
romeite|[矿]锑钙石
richfield|[美国] 里奇菲尔德
rex|雷克斯（男子名）；国王；君主
ripest|成熟的( ripe的最高级 ); 时机成熟的; 强烈的; 口味浓郁的
riven|rive的过去分词
revibration|再震动
reconsecrate|[网络] 重申
reductionism|简化论
radiata|(无脊椎)辐射动物
refuted|驳斥, 驳倒( refute的过去式和过去分词 )
rubicund|红润的, 透红的
radiohumeral|[医] 桡[骨]肱[骨]的
ruggers|(rugger 的复数) n. 英式橄榄球
refiled|(refile 的过去时) [计] 接力传送
reordered|再订购, 重新安排, 重新排序( reorder的过去式和过去分词 )
retrievals|(retrieval 的复数) n. 取回, 恢复, 检索
redoubts|（防御系统中的）最后阵地( redoubt的复数形式 ); 孤立的前哨站
retender|[经] 再度投标
respired|呼吸( respire的过去式和过去分词 ); 呼气和吸气; （植物）进行呼吸
renne|[人名] 伦尼
rubine|红宝石
renunculus|[医] 肾小叶
reluctancy|嫌恶, 不愿
rosine|(Rosine)人名；(法)罗西纳
ridgelet|脊波
reformatting|[计] 重定格式
radialia|[医]辐板
ricinolein|[化]甘油三蓖麻油酸酯
rachitomy|[医] 脊柱切开术
robbers|盗贼（robber的复数形式）
rebutter|反驳者, 第三次答辩, 反证
reinject|再注入,给……作再注射
rakish|轻快的, 潇洒的, 放荡的
rall|渐缓（音乐术语, rallendando的缩写）
rittingerite|砷硒银矿
reenlisted|再次征募（尤指征兵）( reenlist的过去式和过去分词 )
reata|套索
remembering|回忆, 记住
resurfacing|[化] 表面重修
repackaging|重新包装( repackage的现在分词 )
recanted|撤回（声明）, 放弃（信仰或主张）( recant的过去式和过去分词 )
refractors|(refractor 的复数) n. 折射器, 折射望远镜
rehybridize|[网络] 再杂交
ropebark|[网络] 绳子
reserpine|利血平
ramentum|[植]小鳞片
retractors|(retractor 的复数) n. 食言的人, 牵拉肌, 牵开器
redundancy|过多, 冗长, 累赘, 多余, 冗余位, 冗余度, 冗余码, 多余信息
radioscope|放射镜, 剂量测定验电器
resettable|可重调
rhapsodizes|狂热地说, 写作狂想诗文( rhapsodize的第三人称单数 )
rial|里亚尔(伊朗货币单位)
retinacular|支持带的, 韧带的
rebinding|重捆, 重新装订( rebind的现在分词 )
recombinant|重组, 重组物
rhizopodan|根足虫纲动物
recarburize|使再碳化, 使再渗碳
rubricated|加以红字标题, 以红色书写( rubricate的过去式和过去分词 )
romanized|古罗马化, 用罗马字书写( Romanize的过去式和过去分词 )
reschedules|重订时间表( reschedule的名词复数 )
remonstrator|提出异议的人, 忠告者
repacked|(repack 的过去时) n. 重新打包, 重新装箱
reattachment|重附着, 回贴
rumenitis|[医] 瘤胃炎
reselling|再卖, 转售( resell的现在分词 )
reenacts|再制定, 再扮演（reenact的第三人称单数形式）
reprise|年金, 重演, 重复
rhabdus|杆状体(单轴型海绵骨针)
randier|性欲冲动的( randy的比较级 ); 好色的; [苏格兰]喧闹的; 粗俗的
responsum|(犹太法学家对有关犹太法律和礼仪的) 释疑解答
rumania|罗马尼亚（等于Romania）
radiometry|辐射度学
reapportion|重新分配
redress|赔偿, 补救, 矫正
resects|切除, 割除（resect的第三人称单数形式）
retransmit|转播, 转发, 中继站发送
rameses|拉美西斯(即Ramses)
rubious|红玉色的, 红色的
rojak|(食时浇辣椒酱的)马来西亚色拉
renumerate|再数, 再列举
reshipper|reship的变形
replicates|复制( replicate的第三人称单数 ); 重复; 再造; 再生
rucksacks|帆布背包( rucksack的复数形式 )
rhizobium|根瘤菌
rackets|（网球等）球拍( racket的复数形式 ); 敲诈; 墙网球; 吵闹声
renunciant|断念者
reanalyze|再分析
rived|rive的过去式和过去分词
rebelled|造反；反叛（rebell的过去分词）
romish|<贬>天主教的
reguli|金属块
raisings|(raising 的复数) [机] 起油
rectory|教区长的住所
racketer|喧哗, 吵吵闹闹；欢宴；社交；花天酒地；应酬
reinforced|加强的；加固的；加筋的
reimaging|重新成像
rankness|繁茂, 恶臭
repentance|后悔, 悔改
readiness|预备, 准备, 敏捷
refired|再点燃，重新点燃( refire的过去式和过去分词 )
raphe|[医] 缝[际], 种脊(植)
remint|改铸
redrying|二次干燥
rutinose|[化] 芸香糖
rotations|旋转( rotation的复数形式 ); 转动; 轮流; 轮换
rooter|拔根者, 用鼻拱土的动物, 挖土机, 啦啦队员
recognitory|承认的, 认识的
refuser|拒绝者
remedium|[医] 药[物]
rimland|边地, 中心地区之边缘地带
raglans|(raglan 的复数) n. 套袖大衣
rosewater|有玫瑰香水味的, 感伤的, 做作的
rigescent|僵化的, 刻板的, 生硬的
roxana|罗克珊娜(f.)
rfs|[计] 远程文件系统
riddles|谜语；粗筛；谜一般的人（riddle的复数）
replevisor|[法] 要求发还扣押财物诉讼的原告
retinopathy|[医] 视网膜病
rud|路德（德国公司名）
reinstating|使恢复原职, 使恢复原有权利( reinstate的现在分词 ); 把…放回原处
recedes|逐渐远离( recede的第三人称单数 ); 向后倾斜; 自原处后退或避开别人的注视; 尤指问题
rhinocaul|[医] 嗅球脚
reappoints|(reappoint 的第三人称 -s形式) vt. 再任命, 使复职, 重新约定
renters|承租人；佃户；出租人；地主（renter的复数）
reorganizes|改组, 改编, 整顿( reorganize的第三人称单数 )
rideress|女骑者, 女骑士
robbin|梭心（等于roband）
resinousness|resinous的变形
rushings|(rushing 的复数) adj. 急流的；旺盛的
ripping|撕的, 绝妙的
roes|(roe 的复数) n. 狍, 鱼子, 鱼卵
rhombus|菱形, 菱形六面体
rhigosis|[医] 寒觉, 冷觉
ratted|<俚>醉了的, 喝醉的
rebounder|善于篮板球之球员
rearwards|在后面, 向后面
redrafts|(redraft 的第三人称 -s形式) n. 改写稿, 再起草, 新汇票
rebounds|反弹球( rebound的名词复数 ); 回弹球; 抢断篮板球; 复兴
reducer|渐缩管, 缩减者, 还原剂
raiment|衣服
riff|连复段
restituting|复原, 归还( restitute的现在分词 )
reverso|偶数页
rhea|[动]美洲鸵；[植]苎麻
reimprisoned|(reimprison 的过去分词) vt.再囚禁,从新关押
roughhouse|大吵大闹, 骚乱, 大打出手
retroact|反动, 起反作用, 溯及既往
rutabaga|芜菁甘蓝
rhinarium|鼻镜
roquelaure|男用齐膝外套
remailing|[网络] 提醒
romic|罗密克音标(Sweet创)
ricketiness|摇摆，不牢靠
rerecorded|(rerecord 的过去分词) vt. 再录音
retentions|(retention 的复数) n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
rootedness|根深蒂固, 牢不可破
reclined|斜倚, 倚靠, 躺卧( recline的过去式和过去分词 )
reshaped|[医]整形的
repass|再经过, 再通过
railroader|铁路职工
rapparee|土匪, 强盗, 无业游民, 流浪者
residentiary|居住者, 居民
rebukable|rebuke的变形
roasters|(roaster 的复数) n. 炙烤的人, 烘烤器, 焙烧炉
retardants|(retardant 的复数) n. 抑止剂
rasps|粗锉( rasp的名词复数 )
rament|气质激素说
recriminated|反责, 反诉( recriminate的过去式和过去分词 )
reverencer|崇敬；尊严；敬礼 (reverence的变形)
rhombohedron|菱面体
rabbinical|希伯莱语的
rajah|印度王公, 统治者
replating|金属堆焊, 金属焊补
recombines|再结合, 重组（recombine的第三人称单数形式）
relayed|转播的, 重播的
ratoon|根蘖
reflectors|反射器, 反射光[热、声音]的物体( reflector的复数形式 )
revets|用石, 水泥等覆护（revet的第三人称单数形式）
regroup|重新聚集
rouged|胭脂, 口红( rouge的过去式和过去分词 )
recission|撤销，解除
recriminates|反责, 反诉（recriminate的第三人称单数形式）
revitalised|(revitalise 的过去分词) vt. 使有新的活力, 使新生, 使恢复元气
reconstructs|重建( reconstruct的第三人称单数 ); 重现, 重整
rachiotomy|[医] 脊柱切开术
retie|重捆; 重绑; 重扎; 重系
rehandle|重新处理
redraft|改写稿, 再起草, 新汇票
ravenala|[网络] 旅人蕉属
roughhouses|喧闹的游戏或打斗( roughhouse的名词复数 )
rickety|患佝偻病的, 虚弱的, 摇摆的
reoccurred|(reoccur 的过去时) vi. 重新发生, 重新出现
resize|[计] 调整大小
reorder|重新安排, 再定购, 重新排序
rubiginous|锈的
rara|retinoic acid receptor alpha gene 视黄酸受体α基因
reapparel|再穿衣
recondition|修理, 修复
reclaimant|reclaim（改造, 感化, 挽救）的变形
refoot|换基脚, 换底
retakes|电影镜头的重拍( retake的名词复数 ); 重考; 补考; 参加重考或补考的人
revilement|辱骂, 诽谤
rephrasing|改述, 改撰( rephrase的现在分词 )
resoil|补充上层土壤
resembler|resemble的变形
ruelle|窄小的街道, 小巷
remorse|懊悔, 良心不安, 自责, 同情
reducers|缩减者；还原剂；异径接头（reducer的复数）
rotundness|rotund的变形
radioscopy|射线透视, X光透视
repenting|对（自己的所为）感到懊悔或忏悔( repent的现在分词 )
rallidae|[网络] 秧鸡科；纹秧鸡属；小新西兰秧鸡是纹秧鸡属
roadhouse|郊外小旅馆, 客栈
ritornello|间奏曲
ramage|(Ramage)人名；(法)拉马热；(英)拉梅奇
recumbency|斜靠着, 躺着, 休息
reengaged|重新啮合; 重新接入
retouched|润色, 修描（照片）( retouch的过去式和过去分词 )
reinflate|(使)再膨胀
rottenstone|擦光石
recalculated|重新计算；重新估计
revelry|闹饮, 狂欢
reviles|辱骂, 痛斥( revile的第三人称单数 )
redefining|给…重新下定义（redefine的ing形式）
reflectingly|反射地, 深思熟虑地
rheostats|[电] 变阻器；[电] 可变电阻（rheostat的复数形式）
rigged|作弊的, 非法操纵的
radiological|放射学的
recouped|重获（所失的东西）( recoup的过去式和过去分词 ); 补偿, 偿还
rastus|[人名] 拉斯特斯
radiosodium|[化] 放射性钠
ripidolite|[矿]铁绿泥石
reeky|冒烟的, 烟雾弥漫的, 热气腾腾的, 散发臭气的
rebuses|（以画代词语, 尤其是名字的）画谜, 组字画( rebus的名词复数 )
rackle|任性的, 刚愎的, 鲁莽的, 激烈的, 匆忙的
rhynchophora|象虫组
radioed|无线电传送的
reconvenes|重新集合, 重新召集( reconvene的第三人称单数 )
roer|火枪
receding|逐渐远离( recede的现在分词 ); 向后倾斜; 自原处后退或避开别人的注视; 尤指问题
resay|再说,重说
rusted|（使）生锈( rust的过去式和过去分词 )
rimy|被霜覆盖的
reenslave|再奴役,使受二次奴役,再征服 (=re-enslave)
rhinolalia|[医] 鼻音, 鼻语
rads|(RAD 的复数) [计] 随机存取装置, 快速存取数据, 快速存取设备
ruts|车辙( rut的名词复数 ); 犁沟; 常规; 老规矩
realises|(realise 的第三人称 -s形式) vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱
recruited|招聘( recruit的过去式和过去分词 ); 吸收某人为新成员; 动员…（提供帮助）; 雇用
retiled|(retile 的过去分词) vt. 重新用瓦盖；重新铺瓦（瓷砖）
rectischiac|[医] 直肠坐骨的
randolph|伦道夫（男子名）
roomful|满房间, 满场的人
righter|订正者；改正者
roofed|有顶的, 有屋顶的
reopened|重新开始( reopen的过去式和过去分词 ); 再开; 揭旧疮疤; 重提伤心事
rufescent|带红色的
rotters|无赖( rotter的复数形式 )
refastens|再次固定，再次稳固（refasten的第三人称单数形式）
rankly|繁茂地, 恶臭地
rectories|教区长的住宅( rectory的名词复数 )
recitalists|(recitalist 的复数) n. 独唱者；独奏者；单独演出者
ratters|网络摄像头黑客
ridden|ride的过去分词
roughened|（使）变得粗糙, （使）变得不平( roughen的过去式和过去分词 )
riskier|冒险的（risky的比较级）
riyals|(riyal 的复数) n. 里亚尔(沙特阿拉伯货币单位)
realisms|(realism 的复数) n. 写实主义, 现实, 实在论
reanimate|使复活, 鼓舞, 鼓励
retainable|可保持的, 可保留的, 可记住的, 可聘请的, 可雇用的
readout|宣读, 读出
rosets|玫瑰红试剂条<诊断用药>
repugnant|讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
resipiscent|改变心意的, 悔改的
reinjury|[医]再损伤
retractility|伸缩性
revealing|暴露的, 显露的, 揭露的
reacting|反应的
rigaudon|<法>n.=rigadoon
rhema|[语]表位,述位(指为主体提供新信息的句子成分)
rowdyish|有点吵闹的, 有点粗暴的
remapped|(remap 的过去分词) [计] 再交换, 再变换
royale|蛋糕饰块（用作汤中饰菜）
roundwood|(用作电线杆等的)圆材
reproducers|(reproducer 的复数) n. 扬声器
rhesis|（诗歌、文章、戏剧等中的）名句,名句段
ravel|使纠缠, 使混乱, 拆开, 弄清
rotorcraft|旋翼飞机
roto|(pl. rotos)[美]=rotogravure
relinquisher|relinquish的变形
remounted|再上, 重登, 重新安装( remount的过去式和过去分词 )
rifts|裂缝( rift的复数形式 ); 裂隙; 分裂; 不和
reprised|重新开始( reprise的过去式和过去分词 )
replayed|重播, 重放( replay的过去式和过去分词 )
ribbons|带( ribbon的复数形式 ); （打印机的）色带; 绶带; 带状物
reunionistic|reunionist的变形
regimens|（为病人规定的）生活规则, 养生法( regimen的复数形式 ); 养生之道
repurchases|重新买（repurchase的第三人称单数形式）
raillery|戏谑, 逗趣
romneya|马梯里亚罂粟属
reenters|(reenter 的第三人称 -s形式) n. 重进入
reynards|(Reynard 的复数) (民间故事中的)列那狐, [reynard ] 狐狸
ruse|计策, 谋略, 诡计
reinfecting|使再感染，使再传染( reinfect的现在分词 )
retreatant|（深居修道院等处的）静修者
refurnishes|再供给, 重新装备（refurnish的第三人称单数形式）
reinstates|使恢复原职, 使恢复原有权利( reinstate的第三人称单数 ); 把…放回原处
rhodophyta|红藻门
repower|再向…提供动力,为(船只、机器)装上新发动机
reattribute|[网络] 再归因；重新归因
routinism|墨守成规
reclinate|前后对折的, 拱垂的
ravinement|沟蚀; 沟壑形成
regretfully|懊悔地, 抱歉地
resolvers|(resolver 的复数) [计] 裁决器; 分解器
rosilla|短毛堆心菊
reb|犹太人的尊称（相当于“先生”, 与姓名连用）
rales|[医]罗音；水泡音；肺的诊音（rale的复数）
rabi|拉比(①姓氏 ②Isidor Isaac, 1898-, 生于奥地利的美国物理学家, 曾获1944年诺贝尔物理学奖)
repugns|反对, 反抗（repugn的第三人称单数形式）
roundhouses|后甲板舱室( roundhouse的名词复数 )
russets|(russet 的复数) a. 枯叶色的, 红褐色的, 简朴的
roughens|（使）变得粗糙, （使）变得不平( roughen的第三人称单数 )
ramped|土堤斜坡( ramp的过去式和过去分词 ); 斜道; 斜路; （装车或上下飞机的）活动梯
rattier|像老鼠的, <俚>破烂的, 易怒的( ratty的比较级 )
resorbing|再吸收( resorb的现在分词 )
redrafted|(redraft 的过去分词) n. 改写稿, 再起草, 新汇票
radiance|光辉, 发光, 容光焕发
ruralizes|使农村化, 在农村居住( ruralize的第三人称单数 )
renunciator|[网络] 退货人
reinfusion|[医] 再输注, 再输入
rengue|菲律宾粗布
raphides|针晶体( raphide的名词复数 )
regraded|(regrade 的过去分词) v.重分等级, 重新分类
rifeness|流行, 普遍, 充满
rhine|莱茵河
reclines|斜倚, 倚靠, 躺卧( recline的第三人称单数 )
rheums|(rheum 的复数) n. 发炎性分泌物, 鼻粘膜炎, 感冒, 稀粘液, 大黄
refuels|（给）加油, （给）加燃料( refuel的第三人称单数 )
repent|后悔, 懊悔, 忏悔
repave|再铺, 重新铺砌
remiped|[动] 桨足类动物
rout|溃败, 大败, 乌合之众, 盛大晚会
ruthenious|[化]亚钌的,二价钌的
raptured|欢天喜地的, 狂喜的
rebounding|蹦跳运动
reclining|斜倚, 倚靠, 躺卧( recline的现在分词 )
rigours|严格( rigour的复数形式 ); 严谨; 严酷; 艰苦
ribbonfish|皇带鱼
rhinophore|[医] 鼻通气管
rosier|玫瑰色的( rosy的比较级 ); 愉快的; 乐观的; 一切都称心如意
reemphasize|再度（重新）强调
reductive|减少的, 还原论的
repugnancy|反对, 矛盾
rummer|大酒杯
raggedly|破烂地, 粗糙地
ringingly|响亮地, 有力地
rejoinder|回答, 答辩, 答复
redoubling|进一步加强, 大大增加( redouble的现在分词 ); 再加倍, 翻两番
rateability|纳税义务
rockling|[动] 鳕科鱼类(产于北大西洋沿岸)
repetiteurs|(repetiteur 的复数) n. 歌剧合唱团的声乐教师
rangatira|<新西兰>兰格蒂勒(指毛利人的首领或酋长)
rioting|暴乱, 骚乱
replum|胚座框
reseed|再播种于
redthroat|红喉刺莺
rebook|重新订票
retrace|追溯, 折回, 绕回
recoilless|无后坐力的
reachability|[计] 可达性
rimple|皱纹, 涟漪
rounder|巡行者, 看夜人, 巡官, (美)(非正式)浪荡子, 惯犯, 酒鬼
resembling|肖
rollmops|香料醋渍鲱鱼卷
requesters|(requester 的复数) [计] 请求者, 请求程序
roquet|碰球
rachitome|[医] 椎骨刀, 脊椎刀
redskins|红皮肤人( redskin的复数形式 )
realigns|重新排列, 再结盟( realign的第三人称单数 )
redistill|再蒸馏, 复馏
reclasping|(reclasp 的现在分词) vi.,vt. 重行掌握
restrike|[电] 复击
respray|重新喷涂, 重新油漆; 再喷
revivable|可复生的, 可复活的, 可复兴的
reinstate|使复原, 使恢复, 使复立
rajpoot|煞帝利[印度武士]
rorippa|[网络] 蔊菜属；葶苈属；江剪刀菜
redargue|反驳, 驳斥
rheostatic|变阻器的；电阻的
ravishes|使欣喜若狂, 使着迷, 使心醉( ravish的第三人称单数 )
rheda|(古罗马)四轮旅行马车
ramshackle|象要倒的, 摇晃的, 放荡的
rigour|严格, 严厉, 苛刻, 严酷, 严密, 精确
rapidness|快, 动作敏捷, 动作快, 迅速, 陡, 险峻, 急流, 湍滩
reinhabit|再居住于
receipting|收到；收据；收入
revitalizing|使恢复元气, 使具有新的活力( revitalize的现在分词 )
risottos|意大利调味饭（肉汤加干酪等制成）( risotto的复数形式 )
rustled|发出沙沙的声音( rustle的过去式和过去分词 )
rodomontade|大言不惭, 吹牛
rave|狂吼, 狂暴
radiodontia|[医] 牙放射学
rugous|有皱纹的, 多皱纹的
renewability|可再生性
