computer|电脑
chattiest|（似）猫的
codebook|电报密码本
consented|同意( consent的过去式和过去分词 ); 赞成; 允许; 顺从
cosmography|宇宙志, 宇宙结构学
carvene|[化] 香芹烯
cerate|蜡膏
clamber|攀登, 爬上
coroplasty|造瞳术
chlorinity|氯, 含氯
cyclorrhapha|[医] 环裂亚目
clar|clarification 澄清; clarify 澄清; clarendon 笔划较粗而字体略长的一种铅字; clarinet 单簧管
chevin|欧洲圆鳍雅罗鱼
cramoisie|深红色的布
chansonette|<法>n.小歌,小调
camphorated|[医] 含樟脑的
chiver|【植物】细香葱 (Allium schoenoprasum) [亦作 chive garlic]
crl|cross register line 交叉登记列; crown rump length 冠尾长度
calocarpum|[网络] 美果榄属
contentment|满足, 使人满意的事物, 满意
curvet|腾跃
celiadelphus|[医] 腹部联胎
ciseleur|<法>n.镂刻者
camptonite|[机] 康煌岩
conative|意动的
copiously|丰富地, 充裕地
caryota|[网络] 鱼尾葵属；摆尾棕榈；孔雀椰子属
committing|犯（错误）；提交；答应负责（commit的ing形式）
complexus|头半棘肌, 复合肌
ceroplastic|蜡塑的
cypraeidae|宝贝科
cromlechs|(cromlech 的第三人称 -s形式) n.环状列石
cleavable|可分裂的
camerae|照相机, 暗箱, 摄像机, 摄影机
carpers|(carper 的复数) n. 吹毛求疵者, 苛评者
cholesteric|（液晶）胆甾型的
crenitic|泉华化
churchwarden|堂区俗人委员, 陶制的长烟斗
cyclometer|旋转计数器, 计程器, 圆弧测定器
carbonizes|使成碳, 碳化, 使与碳化合（carbonize的第三人称单数形式）
cannulas|套管, 插管
comelily|comely的变形
candytuft|伞形屈曲花
colossian|(小亚细亚古城)歌罗西（Colossae）人（基督教徒）
cementitious|似水泥的, 有黏性的
comportable|合适的, 适当的
caviling|吹毛求疵；挑剔
candyfloss|棉花糖
cavitied|cavity的变形
choppiest|（指海洋）波浪起伏的( choppy的最高级 )
cancellous|网眼状的, 网状骨质的, 海绵状的, 多孔的
cavum|空腔(如耳腔)
craterous|crater的变形
caccagogue|[医] 缓泻药, 轻泻药
chowhound|<美俚>贪吃的人
cannelure|物体表面之细槽
crowds|人群( crowd的名词复数 ); 群众; 一群; 听众
casebound|(书籍)精装的
covenants|（有法律约束的）协议( covenant的名词复数 ); 盟约; 公约; （向慈善事业、信托基金会等定期捐款的）契约书
cowardliness|懦弱, 胆怯
conoid|圆锥形的
choller|肉下巴
cautions|小心( caution的名词复数 ); 谨慎; （对危险或风险的）警告; （警察向犯轻罪的人发出的）警告
coccids|(coccid 的复数) n.[植]介壳虫
creolite|条带碧玉
cartographic|[计] 制图的
clints|(clint 的复数) n. 石芽；石灰岩岩脊；岩沟
cryst|[医]晶状体
carburized|渗碳的
citicorp|花旗公司
carburate|[建] 渗碳, 汽化
cowry|宝贝(一种腹足动物), 宝贝贝壳
circumpolar|极地附近的, 天极附近的, 拱极的
circinus|<拉>[天]圆规座
champed|（马）大声咀嚼( champ的过去式 )
chummery|同房间, 同宿舍
convoying|护送；护卫；护航队
carcinemia|[医] 癌血症, 癌性恶病质
categorising|(categorise 的现在分词) vt. 分类, 归类
camisa|女用衬衫
chunkily|chunky的变形
corroboree|舞蹈晚会, 狂欢会, 喧闹, 骚动
confinements|限制, 被监禁( confinement的复数形式 ); 分娩
clansman|族人, 同宗
chamoising|[建] 油鞣法
chaussee|<法>公路
calibrated|校准使...标准化；校准（calibrate的过去分词）
chrysoidine|[化]橘红, 柯衣定
creosoting|杂酚油浸渍
columella|小柱, 螺的轴柱, 蒴轴
cantabank|漫步的歌唱者
caryopsis|颖果
conflictful|conflict的变形
chirk|快活的, 兴致好的
consummative|(能)使最终得以实现的, 最后完成的, 使完婚的
cooee|喂(澳洲土人的招呼声)
convulsively|痉挛性地
cheerlessly|cheerless的变形
cill|[法]窗台; 岩床; 基石; 门槛
crankiest|暴躁的；古怪的；动摇的 (cranky的变形)
councilmanic|[美国英语]议员的
cordoban|马臀革
calorific|生热的, 产热的, (热)卡的
comradeship|同志关系, 友谊, 伙伴情谊
catamite|娈童
chagal|(帆布或皮革制的)水袋(亦作chaghal, chagul)
cardium|鸟蛤属
countercoup|反政变
contra|反对, 相反
coordinating|[计] 协调的
carlie|[人名] 卡莉
crashed|失事的
clinocephaly|(=clinocephaism)鞍形头； 凹顶头
caddice|毛线
cloister|修道院, 回廊
chancel|高坛
carabid|[昆]步行虫,步甲(亦作carabid beetle)
crankiness|狂妄, 偏执, 古怪
cooties|虱子（cooty的复数）
crimps|使（头发）卷曲, 把…压成褶子( crimp的第三人称单数 )
celebrators|(celebrator 的复数) n. 祝贺的人
chillily|冷漠地
camstone|坚白石灰岩,漂白泥
connubial|结婚的, 夫妇的, 配偶的
calculative|计算的, 善于计算的, 精明的
cadwell|[人名] [英格兰人、苏格兰人、北爱尔兰人姓氏] 卡德韦尔 Caldwell的变体; [地名] [美国] 卡德韦尔
carelessness|粗心大意
classifiable|可分类的
cytochalasin|[生化]细胞松弛素,松胞素,细胞分裂抑素
coaxer|coax的变形
conceptive|构想的, 有构想的
catachresis|在特定上下文中词的误用, 修辞手法生硬而自相矛盾的误用
colusite|硫钒锡铜矿
coze|亲热地闲谈, 聊天, 谈心
collembola|弹尾目
crouches|蹲着的姿势( crouch的名词复数 )
cyanophycean|蓝藻类(的)
copybook|字帖, 习字簿, 复写簿
congealment|冻结, 凝结
cyborgs|电子人, 半机械人( cyborg的复数形式 )
concurred|同意（concur的过去式与过去分词形式）
cantering|（使马）慢跑( canter的现在分词 )
cinematics|电影艺术
casper|一个卡通造型, 为一可爱的小精灵
centavos|(centavo 的复数) n. 分(菲律宾及拉美的货币单位)
calanque|狭海湾
chiffon|雪纺绸, 薄绸, 女子服装装饰品
clinoprism|斜轴柱
cancrine|似蟹的, 具有蟹之特点的
cacoplastic|[医] 成形不良的
conventual|女修道院的, 似女修道院的
chorten|(喇嘛教的)神龛,(喇嘛的)圣骨冢, 纪念碑
cheero|interj. 再会, 再见, 干杯
chalkography|金相学
carburizes|使渗碳于…
cycled|循环的
channelized|使形成沟渠, 疏导( channelize的过去式和过去分词 )
conto|(葡萄牙的)货币计算单位
comforter|安慰的人, 安慰者, 圣灵
cultellation|测点降低
complicitous|有同谋关系的,串通一气的[由 complicity 逆构]
clothespins|晒衣绳上夹衣服之夹子( clothespin的名词复数 )
conocarpus|[网络] 聚合果属；使君子科聚合果属
creepingly|creeping的变形
chameleonic|像变色蜥蜴般善变的, 反复无常的
chargeably|chargeable的变形
chiefdoms|(chiefdom 的复数) n. 首领的地位, 酋长领地所辖居民, 酋长领地
colitoxemia|大肠杆菌毒血症
chaparejos|牧人穿的皮护腿套裤
cumshaw|酒钱,赏钱,小帐
chickasaws|契卡索人（美国马斯科吉印第安人一个部落成员, 过去住在密西西比州北部和田纳西州的部分地区, 现在住在俄克拉何马州）
cohering|黏合( cohere的现在分词 ); 联合; 结合; （指看法、推理等）前后一致
caryatid|女像柱
coracine|乌黑的
critiquing|发表评论（critique的现在分词形式）
conspiration|合作, 协力; [废语]共谋, 阴谋, 密谋
clique|派系, 集团
cocurrent|直流； 同向
cornering|转弯, 回转
coprostanol|粪（甾）醇
cannoning|与…猛撞（cannon的现在分词形式）
capricorn|摩羯宫；摩羯座（等于Capricornus）
calligraphy|笔迹, 书法
cellvibrio|[医] 纤维弧菌属
consumptive|消费的, 浪费的, 消耗性的
condoner|condone的变形
cecily|塞西莉（女子名）
criosphinx|羊头狮身像
cockcrowing|黎明
cytocentrum|中心体
capacitors|电容器, 电容( capacitor的复数形式 )
contravened|取消, 违反( contravene的过去式 )
cuticula|[动]角质层, (昆虫等的)表皮[见CUTICLE]
compd|compound 了结付清（预约款等）; 互让解决（债务或争端）; 化合物; 化合的
curial|元老院的
crudites|蔬菜色拉
churel|女鬼(因分娩而死的妇女鬼魂,某些印度人认为这种鬼魂出没于冷僻地方并传播疾病)
cernuous|[植]俯垂的
cutchery|(印度)行政机关, 种植园事务所, 法院
confidantes|知己的女友( confidante的复数形式 )
carminate|(=carminated)洋红色的, 胭脂红色的, 胭脂红酸盐
cloveroot|[网络] 丁香根
chorogi|甘露子(宝塔菜)
connoted|隐含, 暗示, 意味着( connote的过去式和过去分词 )
catalase|过氧化氢酶
clunked|发出沉闷声( clunk的过去式和过去分词 )
cryptography|密码使用法, 密码学
constabulary|警察的, 警官的
cherup|吱喳鸣叫, 啧啧咂嘴（如催马前进的声音）
cosponsoring|共同赞助者；共同主办人
centurial|一世纪的,百人队的
consulter|向人商量者, 查阅者
chalones|抑素
cowinner|并列获奖者之一；并列优胜者之一
calcimine|墙粉(一种涂料)
counterpull|反引力
carnage|大屠杀, 残杀
colostration|[医] 初乳病
chlorous|三价氯的, 亚氯的
criticalness|批判性
cyprinus|[医]鲤
carbonometer|[医] 碳酸定量器, 二氧化碳定量器
cagot|伪善的(人), 假虔诚的(人)
cryalgesia|[医] 冷痛觉
cocker|娇养, 溺爱, 放纵
checkering|[建] 方格式
crackajack|能干的, 杰出的, 上等的
contorts|扭曲, 扭弯( contort的第三人称单数 )
charmer|巫士, 可爱的人
containedly|泰然自若地, 从容不迫地
colonoscope|结肠镜
clusteringly|cluster的变形
crossbows|（昔日的）石弓, 弩( crossbow的复数形式 )
coordinators|协调者( coordinator的复数形式 ); 同等的人（或物）
certes|的确, 诚然
cunila|[医] 白藓属(唇形科)
cladosporium|[医] 分子孢子菌属
caryopses|颖果；壳果 (caryopsis的变形)
celliform|[医] 细胞样的
collimation|校准, 准直
corallorhiza|[网络] 珊瑚兰属
cantorial|领唱圣歌的, 唱诗班席位北侧的
cystamine|[药]胱胺,塞斯塔明,乌洛托品
chionanthus|毒灰木皮, 流苏树皮
cottonwick|[鱼类]仿石鲈属（Haemulon）鱼
clathrus|格板；格网
coulters|(coulter 的复数) n. 犁刀
chawing|嚼, 咀嚼( chaw的现在分词 )
chamaebatia|蕨叶属; 蕨叶属
colorman|颜料商, 染色师
cozened|(cozen 的过去分词) vt. 欺骗, 瞒
cryptococcal|隐球菌的
cyril|西里尔（男子名）
caulocarpic|[植]每年结果的
coarsening|（使）变粗糙( coarsen的现在分词 ); 粗化
cannetille|[法]金银线, 金银线花边, 经棱条织物
cyclize|[化](使)环化
chinch|臭虫
cratonic|有克拉通盆地特征的, 指具有厚层刚性大陆地壳（或岩石圈）、长期保持相对稳定、较少遭受变形的广大区域
coquet|卖弄风情
cucumiform|黄瓜状的
crummiest|丰满的( crummy的最高级 )
cyanate|氰酸盐
chondrigen|[化] 软骨原
chenopodium|[化] 美洲土荆芥
catechumens|(catechumen 的复数) n. 新入教者, 新信徒, 初学者
carbonadoing|黑金刚石( carbonado的现在分词 )
commie|共产党员
cosmoid|(鱼鳞)具有齿鳞质的
chickpeas|鹰嘴豆( chickpea的复数形式 )
combust|[建] 燃料
concertante|(乐曲等)适于发挥高度技巧的
chiasmus|交错配列
coydog|[动]科伊狗(丛林狼和野狗的杂交后代)
chiselly|多砂砾的, 含砂砾的, 粗颗粒的
cineast|等于cinéaste
crossjack|从桅下桁上挂的帆
cavalrymen|(cavalryman 的复数) n. 骑兵
croc|<口>=crocodile
cytase|[生化]细胞酵素
colonnaded|有列柱的, 有柱廊的
conventually|conventual的变形
cantalite|斑碱粗面岩
caged|关在笼子里的
centiliter|厘升
chamaeleon|[医] 避役属
chopping|[电] 截断
clingier|(clingy 的比较级) a. 粘住的, 紧贴的
cakey|成了块的, 凝固了的
cancrum|[拉](坏疽性)溃疡
coles|[医] 阴茎
counterplay|反击
cytoproct|细胞肛
chunking|[计] 程序分块
combinatoric|【数学】组合学的
carnotite|钒钾铀矿
chiming|敲出和谐的乐声( chime的现在分词 ); 报（时）; 插嘴; （以…）打断谈话
cliched|陈腐的
crag|峭壁, 危岩
coan|[医] 蔻斯的(指Cos的或当地医学学说的)
coronoid|冠状的, 喙状的
cyathea|桫椤属
caprylate|辛酸盐(或酯)
christie|克里斯蒂（姓氏）；挪威首都奥斯陆的旧称
chagrined|懊恼的, 苦恼的
capitalizing|用大写字母写或印刷( capitalize的现在分词 ); 将（某事物）转作资本、用作资本或资本化
cracknel|薄饼干的一种, 脆煎猪肉片
cynocephalic|[医] 狗[状]头的
coenesthesia|[心]普通感觉,存在感觉
coigne|外角, 楔, 隅石, 隅
comeuppance|应得的惩罚
collating|[计] 整理的
cucoline|[化] 汉防己碱
chromonemata|[医] 染色线
catfishes|(catfish 的复数) n. 鲶鱼
contactant|接触性过敏原
clotheslines|(clothesline 的复数) n. 晒衣绳
colipyelitis|大肠杆菌性肾盂炎
crunkle|<英方>vt.使起皱,弄皱
conciliarism|教会会议,至上主义
carambola|[植]五敛子,阳桃(亦作caramba)
cobby|象结实的矮脚马似的, (英)(非正式)活跃的, 执拗的
cellule|小细胞
chanters|(chanter 的复数) n. 吟唱者, 调旋律管, 唱诗班成员
compliable|依从的, 屈从的
censoriously|好批评地
convolutions|回旋, 盘旋, 卷绕( convolution的复数形式 )
contemn|侮辱, 蔑视
cyclostylar|cyclostyle的变形
coagent|合作者, 共事者, 帮手
conferring|<拉>商谈, 商议( confer的现在分词 ); 授予, 赋予
cerebrotonia|[心]大脑紧张型,精神抑制型, 气质孤僻
cypris|腺介虫
caimito|[网络] 凯米托；黄金果；黄晶果
cosseted|宠爱, 娇养, 纵容( cosset的过去式 )
claudius|克劳迪亚斯(Claude的异体)(m.)
circumflexes|（加在元音字母上的）音调符号( circumflex的复数形式 )
cheddars|（英国产的）切达干酪( cheddar的复数形式 )
choriambs|【韵律学】 扬抑抑扬格, 长短短长格 (一种四音节的古典韵律)
curs|杂种狗；卑鄙的人（cur的复数）
concelebrate|共做弥撒
caving|洞穴探险
coadjutor|助手, 帮手, 主教助理
cetrarin|冰岛衣素
clem|使饥饿, 使苦
corcle|[医]胚, 胚芽, 胚根
corbina|北美乌鱼, 类似北美乌鱼之海鱼
cresegol|[医] 克里塞果耳(甲酚对磺酸汞钾衍生物)
connatural|先天的, 固有的, 同性质的
covenantor|契约之授方
catechise|问答式教授, 盘问
cooperators|(cooperator 的复数) n. 合作社社员, 合作者
cheerfulness|高兴, 快活
coenenchyme|共骨骼
calamander|乌木
correl|有相互关系的（correlative）
craftless|craft的变形
chirped|鸟叫, 虫鸣( chirp的过去式 )
cowfish|海牛, 灰海豚
calciphile|在石灰质土壤生长的植物
chapstick|无色唇膏
captivating|迷人的, 有魅力的
cigarfish|圆
copartner|合作者, 合伙人, 同犯
chevaliers|(chevalier 的复数) n. 各级爵位的成员, 骑士, 最低级的贵族
classism|阶级歧视, 阶级优越论
convergent|趋集于一点的, 会聚性的, 收敛的
coveralls|衣裤相连的工作服（coverall的复数形式）
causeuse|<法>n.双人小沙发[字面意义： talkative woman]
conidiospore|分生孢子
calligraph|漂亮的书写(或抄写)
cortin|皮质激素
capitulary|牧师会的
capsulectomy|[医] 囊切除术
curiage|[物]居里数,居里强度
cutlassfish|[医]带鱼，刀鱼
cissoid|凹边的,蔓叶线的
confection|糖果, 蜜饯
cluff|[人名] [英格兰人姓氏] 克拉夫 Clough的变体
cronartium|柱锈菌属
canalise|开掘运河, 开掘渠道, (喻)把...引向某一途径
chromonema|[生]染色丝
champerty|包揽诉讼
caryl|蒈烷基
corvet|(古代的)木帆海防舰,轻型护卫舰,驱潜快艇,<英军俚>专门追求军官的海军女兵
cirque|圆形场地, 圆环, 环形排列
civilizes|使文明, 使开化( civilize的第三人称单数 )
caprifig|野无花果(南欧及近东产)
chokes|填塞( choke的第三人称单数 ); （使）窒息; （尤指感情激动）而哽咽; 因紧张而失灵
cacoglossia|[医] 舌坏疽
cupholder|奖杯保持者, （线路用）绝缘子螺脚
corydaline|[化] 紫堇碱; 延胡索素甲
cotunnite|氯铅矿
cruiseway|<英>供乘船游览用的河道
conalbumin|伴清蛋白, 伴白蛋白
colourably|可着色地;似是而非
crance|艏桁
cholerically|choleric的变形
chartreux|夏特尔猫（法国一种猫的品种）
cheiropodist|[医] 治鸡眼者, 手足医
chump|大木块, (羊)腰臀部的肉, 傻瓜
chalcis|卡尔基斯（希腊港市）
cingulectomy|[医](脑)扣带束切开术(一种精神外科手术)
cannibal|食人者, 吃同类的动物
congregate|(使)集合, (使)聚集
carboxylic|[机] 羧基的
cusso|[医] 苦苏花
casing|箱, 盒, 包装, 框, 套管
crystallite|皱晶, 微晶
clagging|涂料粘附
chirognostic|[医] 能辨别左右的
cyrenaicism|[哲](古希腊)昔兰尼学派的快乐论, 昔兰尼主义
candock|睡莲
cleptomaniac|(=kleptomaniac)有盗窃癖的人
clanked|（使某物）发出叮当声( clank的过去式和过去分词 )
cyanidine|[化] 花色素; 花青色素
contumacies|拒不服从, 固执( contumacy的名词复数 )
chino|斜纹棉布裤；丝光斜纹棉布
courteously|亲切地；有礼貌地
claymore|双刃大砍刀
campaigners|从军者, 出征者, 竞选者( campaigner的复数形式 )
crewman|机组乘员
craggedness|多岩状, 峻峭, 崎岖
charco|水洼
centistere|立方厘米(体积单位)
collagist|抽象拚贴画（用报纸、布、压平的花等碎片拼合而成的） (collage的变形)
chirurgic|[医] 外科的
congregator|congregate的变形
crowders|[美国] 克罗德斯
collocates|并置排列, 配置( collocate的名词复数 )
chelifer|[动]恶蚬,螯蝎(栖于书籍堆中的一种属于蜘蛛类的小虫)
chekhov|契诃夫（俄国著名作家）
clotter|(泥土、粘土的)块；团；土块；泥块；【生理学】(液体的)凝块；(血的)凝块
clings|附着于( cling的第三人称单数 ); 抓紧或抱住; 坚持; 依恋, 依附于
complexes|复体, 复合物
chirurgeon|外科医生
clavellate|小棍棒状的
cardiopath|[医] 心[脏]病患者
clicked|使发出咔哒声, 使咔哒（或咔嚓）响( click的过去式和过去分词 ); 突然明白; 配合默契; 在计算机荧光屏上用鼠标器)咔嗒一按
canvasser|游说者, 检票员, 兜揽生意的人
capote|带风帽的长大衣
chalcophile|亲铜的
comanchean|[地质]卡曼奇纪的
criminality|犯罪, 有罪, 犯罪行为
chappies|(chappy 的复数) n. 喜爱卖弄的人, 花花公子, 家伙, 小伙子
cobaltammine|[建] 氨络钴
coulombmeter|[化] 库仑计
congelation|冻结, 凝结, 冻结物
cashed|把支票兑换成现金( cash的过去式 )
cheirology|[医] 手语
countryward|走向乡村的, 下乡的
cyphosis|(=kyphosis)脊柱后凸, 驼背
carian|(Carian)人名；(法)卡里安
celliferous|具细胞的
cheated|欺骗, 哄骗( cheat的过去式和过去分词 ); （尤指在游戏、比赛、考试等中）欺诈; 作弊; 已婚或有固定性伙伴的人与他人有秘密性关系
coachability|（人的）可塑性，可培养潜力
clothesless|[网络] 无
corers|(corer 的复数) n. (果实的)去心器
creedless|信条, 教义 (creed的变形)
colicky|绞痛的, 急腹痛的
caseating|干酪样
cotyla|(=cotyle)关节臼, 臼, 髋臼
cornstalks|(cornstalk 的第三人称 -s形式) n. 谷类的秆, 玉米秆
comfit|糖果, 蜜饯
cautiously|慎重地
cecidium|虫瘿
cobia|[鱼]军曹鱼(产于热带海洋,可供食用)
clods|块( clod的复数形式 ); （尤指）土块; <非正>傻瓜; 笨蛋
crocidolite|青石棉
cleanups|(cleanup 的复数) n. 清除, 暴利
carolan|[日]卡罗纶(醋酯长丝、短丝)
clef|谱号
craneman|[化] 吊车工
crabber|捕蟹人, 捕蟹小船, 专爱挑剔的人
comake|(为保证借款人履行义务) 共同在(借据)上签字
canniness|精明, 谨慎, 机警
coarsen|(使)变粗
chechem|丘欠姆树
casualties|伤亡；人员伤亡（casualty的复数）
cones|锥形体；视锥细胞（cone的复数）
corylopsis|[网络] 蜡瓣花属；冬天榛树；瑞木属
chantey|水手的劳动号子(或歌)
cumbrance|拖累, 累赘
clinking|叮当响的, 无比的, 无上的
cionectomy|[医] 悬雍垂切除术
crapy|皱褶的
candies|糖果, 果饵（candy的复数）
catostomus|胭脂鱼属
conducible|有助于…的
calibrations|(calibration 的复数) n. 口径测定, 刻度, 校准
commutation|交换, 变换, 代替
concertino|大协奏曲中的独奏乐器, 小协奏曲
coadjuvancy|协作
concaves|(concave 的复数) a. 凹的
crucibles|坩埚, 严酷的考验（ crucible的复数形式 ）
cheloniidae|渔龟科；[脊椎] 海龟科
courtiers|侍臣, 廷臣( courtier的复数形式 )
coliform|大肠菌
cuprammonia|铜氨液
chibol|[英方]带茎洋葱
clonicotonic|[医] 阵挛紧张的
cardiacs|(cardiac 的复数) n. 心脏病患者, 强心剂, 健胃药
classed|把…归入某等级, 把…看作（class的过去式与过去分词形式）
colorings|色彩( coloring的名词复数 ); 色调; 着色法; 着色剂
confesser|[法] 认罪者, 自白者
curvetted|使腾跃
clanship|氏族归属状况, 氏族的团结, 氏族制度
cryptogamia|[医] 隐花植物纲
courant|报纸, 库兰特舞, 库兰特舞曲, (英)(非正式)四处乱跑, 闹饮, 嬉闹
campbellite|基督门徒会教徒
cadis|coronary artery disease 冠心病
clonally|无性（繁殖）系地
chymous|[医] 食糜的
cartman|赶大车(或轻型二轮车)的人,卡车司机
choop|丘泼籽
credulous|轻信的, 易受骗的
crabby|脾气坏的, 易怒的, 坏脾气的
cordobas|(cordoba 的复数) 科尔多瓦（阿根廷城市）
cardioplegia|[医] 心麻痹, 心瘫痪
consumerist|用户至上主义者, 主张消费主义的人
cloths|布, 衣料, 织物, 布块, 桌布, (某一职业的标识)服装, 帆
cerebroside|[生化]脑苷脂
contort|扭弯, 曲解
chastises|严惩（某人）（尤指责打）( chastise的第三人称单数 )
cleverly|聪明地, 全然, 完全, 巧妙地
centaurs|（希腊神话中）半人半马怪物( centaur的复数形式 )
coaler|运煤船, 运煤铁路, 煤商
cinereal|[医] 灰质的
cyaphenine|间三苯基三嗪
cutlass|短剑, 弯刀
cataphyll|初叶, 叶芽, 低出叶
correa|[人名] 科雷亚
calendry|轧光车间, 压光车间
chessmen|棋子( chessman的名词复数 ); [体]国际象棋子
chirrups|反复不断地发出唧唧叫声( chirrup的第三人称单数 )
candide|憨第德（小说名）；老实人（小说名）；坎戴德（小说名）
creophagous|食肉的
calydonian|boar[希神]卡莱敦的野猪(被Artemis 派往古希腊城市卡莱敦蹂躏田野,后为Meleager所杀)
chubb|丘伯保险锁（商标名称）
coruscating|<正>闪光, 闪烁( coruscate的现在分词 )
citrin|维生素P
chimed|敲出和谐的乐声( chime的过去式 ); 报（时）; 插嘴; （以…）打断谈话
cist|石棺, 墓窖, 圣器箱
comediennes|喜剧女演员( comedienne的复数形式 )
cookshack|灶棚
cataloguing|为…编目录( catalogue的现在分词 ); 登记分类; 记载; 登记（某人、某事等的详情）
caesarist|信奉君主专制主义的人
cloaks|（尤指旧时的）披风( cloak的名词复数 ); 斗篷; 外衣; 战袍
caniniform|[医] 犬牙样的
cadaver|死尸, 尸体
crablet|小蟹
crownland|王室领地
cleromancy|掷骰子占卜
chondrules|(chondrule 的第三人称 -s形式) n.[地]陨石球粒
consolations|(consolation 的复数) n. 安慰, 令人安慰的事物
cephalomere|[动、解]头节
crawfish|蛄, 小龙虾
coccosphere|颗石球
clio|主管史诗、历史的女神
cerebra|pl. 大脑
cremate|烧成灰, 火葬
chaffweed|[网络] 金花草
canalling|运河, 水道, 管, 沟渠
churching|安产感恩礼拜
coreopsis|金鸡菊
comite|克螨特
chemisette|紧胸衬衣
clare|克莱尔（女子名）
conceptually|概念地
carone|蒈酮, 5-蒈酮
crouse|克劳斯(姓氏)
cassinoid|卡西尼卵形线
crave|渴望, 热望, 恳求
coproduct|副产物
coatimundi|[动]长鼻浣熊
circularness|circular的变形
capeline|[医] 帽式绷带, 裹颅双头带
caprid|羊科动物
cushat|斑尾林鸽
cabriolet|蓬式汽车
cologned|cologne的变形
carpogone|果胞(红藻)
correlations|相互的关系( correlation的复数形式 )
carlina|(Carlina)人名；(西)卡利娜
casemented|casement的变形
carpinus|鹅耳枥属
cellulase|纤维素酶
cairngorm|烟晶(宝石)
cribral|[医] 筛的, 筛状的
clinkstone|响岩
comprises|包含( comprise的第三人称单数 ); 包括; 组成; 构成
collyriums|洗眼剂, 坐药, 栓剂
clusiaceae|藤黄科；金丝桃科
cacholong|[矿]美蛋白石
carcinogen|致癌物质
centrists|（政治上的）中立派（centrist的复数形式）
cephalic|头的
checkmated|（国际象棋）将死( checkmate的过去式和过去分词 ); 输棋; 败局; 败北
chrisma|[医] 软膏, 油膏
crediting|相信, 信任（credit的现在分词形式）
comfrey|聚合草
currish|野狗似的, 脾气坏的, 没教养的
colory|色彩丰富的, 色泽优良的
caecostomy|盲肠穿孔手术
compendiums|摘要, 纲要( compendium的名词复数 )
crosscourt|& adj.[网][篮]斜线地(的),斜切地(的), 向着对方半场(的)
convexly|中凸地, 凸圆地
chivying|追逐( chivy的现在分词 )
crunchers|(cruncher 的复数)  [计]数字计算器
chemigraph|化学腐蚀凸板
chanciness|不确定性, 危险性
coffining|收殓（coffin的现在分词形式）
cirri|触毛(cirrum的复数)
conjurator|[法] 同谋者, 阴谋者
codpiece|男裤前面的褶
cubicles|小卧室, 斗室( cubicle的复数形式 )
contraflow|[机] 反流
chais|(chai 的复数) n. 印度奶茶, 印度茶；混合茶
contemporize|vi. 同时发生
consumed|充满的；对…著迷的
cooker|炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
clupeine|[生化]鲱精蛋白
cylindroma|[医] 圆柱瘤
chimneylike|chimney的变形
caruncles|(caruncle 的复数) n. 种阜, 肉冠, 肉阜
cuniculus|地道, 排水沟
crackpots|怪人, 狂人( crackpot的复数形式 )
conspires|密谋( conspire的第三人称单数 ); 搞阴谋; （事件等）巧合; 共同导致
confirmer|证实者; 保兑人
camphene|莰烯
chimer|奇莫（人名）；北地精灵（游戏人物）
cicerone|导游
capitally|极妙地, 极佳地
caboose|(载货火车的)守车, 轮船上的厨房
cheliceral|前肢的螯的
chorographic|地图绘制术的, 地方地理学的
constricting|压缩, 压紧, 使收缩( constrict的现在分词 )
coversed|sine [数]余矢
coldest|冷的
crimpy|蜷缩的, 皱缩的
creepers|匍匐[攀缘]植物( creeper的复数形式 ); 蛤蟆装; 爬山虎
cerous|[化](正)铈的, 三价铈的
czarism|专制政治, 沙皇统治
cusping|形成水舌
coloclysis|结肠灌洗, 灌肠
confluences|<术>（河流的）汇合处( confluence的复数形式 ); 汇流处; <正>（事物的）汇合; 汇流
cytoclasis|[生]细胞坏死
consonantly|consonant的变形
colophonic|[建] 松香的
captaining|当首领（captain的现在分词形式）
craftwork|工艺(品)
cuspidation|饰以尖头, 饰以尖顶
campground|露营场所；野营地
camleted|羽纱；一种轻的布料
comby|[地质]蜂巢状的
cerargyrite|[矿]角银矿
cherub|二级天使, 小天使, 天真美丽的儿童
cased|包装；装入（case的过去式和过去分词形式）
crocein|红色或橘红色染料
castigate|惩罚, 苛评, 修订
cousinage|堂兄弟姊妹；表兄弟姊妹 (cousin的变形)
collieries|煤矿( colliery的名词复数 )
callicarpa|[医] 紫珠属
chicaned|施诡计( chicane的过去式和过去分词 ); 诈骗
contaminator|污染物, 沾染物
catechetic|问答式教法的
cavernoma|海绵状(血管)瘤
corroborees|(corroboree 的复数) n. 舞蹈晚会, 狂欢会, 喧闹, 骚动
criterium|环行公路赛
casas|(casa 的复数) abbr. 天文学高级研究中心（Centre for Advanced Study of Astronomy）；计算机与自动化系统（Computer and Automated System Association）；合作应用卫星A（Cooperative Application Satellite A）
cinque|五, 五点
cancerigenic|[医] 致癌的
circularly|圆地, 圆形地, 循环地
contractile|会缩的, 有收缩性的
coccidology|[昆]介壳虫学
curtesy|[律]鳏夫产业(夫继承亡妻财产的权利)
commix|混合
cessionary|受让人
circuiting|[建] 圆的, 循环的
curacoa|柑桂酒, 柑香酒
charivari|喧闹的音乐, 喧闹声
convallaria|铃兰草
caruncula|[医] 小阜, 肉阜
christens|在洗礼时为（某人）命名( christen的第三人称单数 )
