moon|月亮
mavrodaphne|马弗罗达夫尼酒(一种产于希腊的甜味红葡萄酒)
microburette|[化] 微量滴定管
minification|[计] 缩小倍数, 缩率
mannose|[生化]甘露糖
manipulates|熟练控制[操作]( manipulate的第三人称单数 ); （暗中）控制, 操纵, 影响; 正骨; 治疗脱臼
mam|[英方]妈（等于mamma）
micrometric|测微的, 测微术的
mothercraft|育儿法
modalism|三位形态式
moisty|[常与misty连用]潮湿的
midrashim|米德拉什（针对希伯来圣经额外的圣经注释） (midrash的变形)
megabytes|(megabyte 的复数) n. [计]兆字节
multiformity|多形, 多样性
metapore|[医] 后孔, 马让迪氏孔, 第四脑室正中孔
miniseries|电视连续短剧
metathesis|音位转换, 转移, 置换
mos|[计] 管理操作系统, 金属氧化物半导体
monotic|[医] 单耳的
monniker|名字, 绰号, 外号
micromazia|[医] 小乳房, 乳房过小
mazdoor|(印度的) 劳工, 苦力
meritless|不道德的
messinese|[网络] 中文
macrosporic|macrospore的变形
mastatrophy|[医]乳腺萎缩
maximises|(maximise 的第三人称 -s形式) vt. 把...增加到最大限度, 把...扩大到最大限度, 充分重视, 找出...的最高值
monkeyish|猴子似的, 顽皮的, 胡闹的, 愚蠢的
milker|挤奶人, 挤奶器, 乳牛
micromicron|微微米
methylol|[化] 羟甲基
marlena|(Marlena)人名；(俄)马列娜
manors|庄园（manor的复数形式）
mirthlessly|忧伤地, 阴森地
millers|（尤指面粉厂的）厂主( miller的复数形式 ); 磨房主; 碾磨工; 铣工
measurer|[计] 测量仪表, 测量器
marmots|(marmot 的复数) n. 土拨鼠
metacoele|[医] 第四脑室后部, 后室
myristate|[化](肉)豆蔻酸盐(或酯),十四(烷)酸盐(或酯)
mokes|(moke 的复数) n. 驴, 笨人, 黑人
mooneye|(马的)月盲症, 患月盲症的马眼
marsupian|,adj. marsupial的变形
mosstrooper|匪徒, 流寇
marara|[网络] 红澳桤木；遗迹
megasse|(作燃料或绝缘材料用的)蔗渣
maltiness|malty的变形
misdate|填错日期
melocactus|[网络] 花座球属；瓜玉属；晚刺花座球
minesweeping|[军]扫雷
magistrand|研究生(苏格兰大学攻读文科硕士学位的学生)
monadical|monad的变形
molding|模制, 铸造物, 模制件, 浇铸
manana|明天, 不久以后
mockernut|[网络] 克果
maidservant|女仆, 女佣
motorcar|汽车
mythologise|<主英> = mythologize
microword|[计] 微字
myoscope|[医]肌缩观测器
mulish|似骡的, 执拗的, 顽固的
mysid|[动]糖虾
mong|[澳俚]杂种狗
majuscules|(majuscule 的第三人称 -s形式) n. 大字, 大写字母
matelotes|(matelote 的复数) n. 以葡萄酒和洋葱炖的鱼
micas|(mica 的复数) n. 云母
mottles|使成杂色, 使有斑点( mottle的第三人称单数 )
madams|女士( madam的名词复数 ); 小姐; 喜欢指使他人的年轻妇女; （妓院的）鸨母
manuel|曼纽尔（男子名）；曼努埃尔二世（拜占庭皇帝约翰五世的次子）
maldigestion|消化不良
mauling|（尤指动物）撕裂…的皮肉( maul的现在分词 ); 伤害; 虐待; 粗手粗脚地摆弄
macruran|虾(甲壳纲十足目长尾亚目动物的通称)
masseter|[解]嚼肌,咬肌
mandrin|细探针
monobloc|整体的,单块的, 单层的
mouther|吹牛的人, 说话装腔作势的人
mussal|<印英>(通常用浸油的破布燃着的)火炬
mazel|运气
meniscoid|新月形的,凹凸的
maysin|玉米的可凝性球蛋白
murderesses|女凶手( murderess的复数形式 )
monitorial|级长的, 使用监听器的, 告诫的
mesosauria|中龙目
monorails|单轨（铁路）( monorail的复数形式 ); 单轨索道
marquisate|侯爵身份, 侯爵领地
microammeter|[电] 微安计
marrowbones|(marrowbone 的第三人称 -s形式) n. 髓骨
martyrise|使殉难(或殉教)；折磨；使受痛苦
muriel|穆里尔（女子名）
melaconite|[矿]土黑铜矿
mounds|土堆, 土丘( mound的名词复数 ); 一大堆
multiplexes|多元的( multiplex的名词复数 )
mildewproof|防霉的
moire|波纹丝绸
mymaridae|柄翅卵蜂科
monoacetin|一醋精, 甘油一乙酸酯
miscorrect|误改
misopedia|嫌子女症
midband|中频
marchantia|[医] 地钱属植物
metachronism|继时性
micromho|[电] 微姆欧
maxis|超长式长裙；迷嬉装（maxi的复数）
malignity|恶意, 歹意, 恶性
mastorrhagia|乳腺出血
minuthesis|[医] 感觉器疲劳
marocain|马罗坎平纹绉
monoploid|& adj.[生]单倍体(的)
microtia|[医] 小耳, 耳过小
monopathic|[医] 单病的, 局部病的
mothball|樟脑丸, 保藏
monogrammic|monogram的变形
muktuk|食用鲸皮(或鲸脂)
miter|僧帽, 主教冠, 斜接, 斜榫
mammose|具乳突形突起的
macrochiria|[医] 巨手
matchlock|火绳枪
moorage|停泊, 定泊处, 定泊费
microsporous|microspore的变形
mesoderm|中胚层
metairie|梅泰里[美国路易斯安那州东南部城市]
mucific|分泌黏液的
megalith|巨石
misogyny|厌恶女人
marksman|射手, 狙击兵, 神射手
muzzle|动物之鼻口, 口套, 枪口
malvoisie|白葡萄酒的一种
mota|粘土
misperceived|(misperceive 的过去分词) vt. 误解；看错
marveled|奇迹
municipalism|自治制, 地方自治论
manganate|锰酸盐
magnesite|菱镁矿
mgr|经理（等于manager）；大人, 阁下（等于Monsignor）；高压玻璃釉电阻器；经纬智库（公司名）；复合气体再呼吸（等于multiple gas rebreathing）
meer|米尔（人名）
misemploy|误用, 应用不当
microseme|[医] 小眼型的(眼眶指数在84以下)
moonstruck|发狂的, 月光照到的
morpheus|梦神, 睡神, 睡眠
mandingo|曼丁果语；西非洲曼丁果人
martyry|忠烈祠, 烈士纪念堂
mulled|将（葡萄酒、啤酒等）制成热饮（加糖、香料等）( mull的过去式和过去分词 ); 思索或思考（某事物）; 认真琢磨; 反复思考（计划、建议等）
migs|(Mig 的复数) n. 米格飞机
mistigris|百搭; 有百搭牌的扑克牌戏
mawworm|伪君子
mirky|黑暗地的, 阴郁地的
medalled|佩带勋章的
mergansers|(merganser 的复数) n. 秋沙鸭
micronize|使微粉化
mucuna|黎豆属; 油麻藤属
megadeath|一百万人之死亡
melanoid|黑变病的
megalops|[动]大眼幼体( 蟹类)
maharani|maharaja[h] 之妻
micropsia|[医] 视物显小症
mitogenic|[生]促有丝分裂的, 致有丝分裂的
missaid|missay的过去式及过去分词
moneyed|有钱的
mignons|(mignon 的复数) adj.可爱的, 娇小美丽的
mobbist|暴徒
myrtles|(myrtle 的复数) n. 桃金娘科植物
mande|(pl. Mande, Mandes)曼丁哥人(西非黑人, 包括马林凯人等)
metanalysis|[语]再分化
mesabite|赭针铁矿
mercerizes|作丝光处理( mercerize的第三人称单数 )
marikina|[地名] [菲律宾] 马里基纳
manoeuvring|[军]调遣, 部署, 操纵
meiler|炭窑
matrilateral|母系的, 母亲一方的,姑表(或姨表)关系的
mather|马瑟（人名）
mademoiselle|[法] (pl.mademoiselles, mesdemoiselles )小姐(相当于英语Miss , 单数略为Mlle, 复数略为Mlles), [英]法国女(家庭)教师
mergus|[网络] 秋沙鸭属；秋沙属
motherwort|[植]益母草,茺蔚
millefleurs|(挂毯图案的)万花斑驳的
miharaite|三原岩(苏英玄武岩)
mammals|哺乳类；哺乳纲；哺乳类动物（mammal的复数）
moderateness|适度；温和；暖和（moderate的名词形式）
monotonize|使单调
metalist|<美>= metallist
metallike|有金属特性的,像金属的,金属般的
monos|monitor out of service 监视器停用，不工作的监视器，非服务监视器; [计]= MONitor Out of Service,非服务监视器
myxomycetes|[医] 粘液菌门
mourners|哀悼者; 哀悼者, 送葬者( mourner的复数形式 )
monometer|单音步诗行
morin|[化] 桑黄素
machilidae|[网络] 石蛃科；石蚤科；石蛹科
marrowless|无髓的
misreading|[化] 错译
maternities|(maternity 的复数) n. 母性, 怀孕, 妇产科医院
micturated|排尿( micturate的过去式和过去分词 )
mazodynia|[医] 乳房痛
midseason|季节中期(指仲春,仲夏,仲秋,仲冬),旺季,忙季
macrograph|宏观图
melodrame|<古> = melodrama
matti|(Matti)人名；(法、意、芬、以、瑞典)马蒂
myelogenous|骨髓内产生的, 骨髓的
marines|[人名] 马林斯; [地名] [西班牙] 马里内斯; [地名] [法国] 马里讷; [电影]时空奇兵之海豹突击队
moundsman|棒球投手
mandyas|[宗](东正教)黑色短斗蓬, 紫色斗篷
mucose|粘的
muniment|契据, 证券, 文件, 防御手段
micrological|micrology的变形
mandir|(印度教或耆那教的) 寺庙
matzos|(matzo 的复数) (pl. matzot, matzoth, matzos)(=matsah)犹太逾越节薄饼(逾越节期间犹太人所吃的一种不发酵的硬面饼)
misknowledge|错误的认识, 误解
makeshifts|(makeshift 的复数) n. 权宜之计, 临时代用品
manyatta|( 非洲南部用篱笆围起来的) 村庄, 村塞
mumblers|(mumbler 的复数) 咕咕哝哝的人；说话含糊的人
macaronis|意大利粉, 通心面( macaroni的名词复数 ); 通心粉
mimosis|[医] 拟态(生物), 模仿, 模拟, 疾病模仿
mapmakers|(mapmaker 的复数) n.地图制作者, 制图师
missourian|密苏里的
mercedarian|[网络] 梅塞德会
minar|(尤指印度的)塔
missel|(=mistle thrush)[鸟]獬鸫
mayapple|[植]盾叶鬼臼
microfiche|缩微平片
mohammad|穆罕默德（穆斯林真主）；（阿拉伯）穆罕默德（男子名）
milksopping|(milksop 的现在分词) n. 懦弱的人
midfielder|中场队员
myxoid|[医] 粘液样的
mossberry|蔓越橘
magnificos|（古威尼斯的）贵族，高官，显要人物( magnifico的名词复数 )
memorizes|记住, 熟记( memorize的第三人称单数 )
macrology|烦冗, 烦冗的语句
madoqua|[医]小羚羊属
mannitol|甘露糖醇
misnurture|[网络] 误导
merotomy|[医] 分节, 节裂
mediastinum|纵隔
mant|[人名] 曼特
mogilalia|[医]出语困难,难语症(如口吃)
moke|驴, 笨人, 黑人
magnetizer|磁化器
manifoldly|多种多样的
merits|功绩；是非曲直；优点（merit的复数）
makable|可制作的；可标记的
mitome|[医] 原质丝, 胞网丝, 原浆网质
mistuning|失调
malfeasance|不正当, 不法行为, 坏事, 渎职
mirk|黝暗, 阴郁
muso|<俚>乐师
millets|(millet 的复数) n. 稷, 粟, 黍
methodized|使有条理( methodize的过去式和过去分词 )
monger|商人, ...商, ...贩
melamed|(犹太宗教小学或其他犹太学校的)小学教师
microcopied|缩微复制( microcopy的过去式和过去分词 )
mucoraceae|[医] 毛霉菌科
maratha|(印度中、西部的)马拉地人
microclastic|微细屑状; 细屑质的
malleated|锻；压延；将…锤薄
makar|<苏格兰>诗人
magicking|用魔法变出（magic的现在分词形式）
musk|麝香, 麝香的气味
mizzled|下蒙蒙细雨( mizzle的过去式和过去分词 )
mutillid|蚁蜂
mooder|心情, 心境, 情绪；精神状态, 思想倾向；郁郁寡欢；生气；心情不好
messman|炊事兵
microvolt|[计] 微伏
mesostoma|中口涡虫属
monody|独唱颂歌, 无伴奏齐唱, 挽歌
movably|可移动地, 可动性地
moldery|(=mouldery) 造型车间
maungy|<英方>(尤指小孩)坏脾气的,闹别扭的
manlike|象男人的, 有男子气概的, 男子似的
morbific|引起疾病的
maleo|[医]马利奥冢雉
monogenesis|无性生殖
mithra|密特拉（波斯神话中的光明之神, 等于 Mithras）
metrorrhea|[医] 子宫液溢
milligramme|毫克
mitt|棒球手套, 拳击手套, 连指手套
machaira|(古埃及和古希腊时的)双刃弯刀
midden|垃圾堆, 堆肥
mussiness|mussy的变形
muntingia|[网络] 文定果属；西印度樱桃属；南美假樱桃属
moniliform|念珠形的
mycohaemia|(=mycohemia)霉菌血症
monotonies|(monotony 的复数) n. 单调, 缺乏变化
monazite|[矿]独居石
massless|[物]无质量的
manostat|稳压器
marinated|把…浸泡于腌泡汁中（marinate的过去式与过去分词形式）
mediates|调停, 调解, 斡旋( mediate的第三人称单数 ); 居间促成; 影响…的发生; 使…可能发生
microfarad|微法拉
majorism|[网络] 梅杰主义；主义
mocks|（英国）模拟考试( mock的名词复数 )
milter|繁殖期的雄鱼
micmac|加拿大的印第安人;其语言
muted|变弱了的, 变柔和了的
mullid|羊鱼
molests|骚扰( molest的名词复数 ); 干扰; 调戏; 猥亵
mollifiers|(mollifier 的复数) 安慰者
mimically|mimical的变形
maurist|[宗]莫尔会修士
manducable|manducate的变形
mought|<古><方>may的过去式
multiparous|一胎多子的, 多产的
muntin|[建]门框或房屋侧翼凸出部 分框架的直木条(或铁条)
manit|(=man minutes)每人每分钟所做的工作, 人分
malmstone|灰砂岩
manter|[人名] 曼特; [地名] [美国] 曼特
mudrocks|(mudrock 的复数) 泥岩
monologue|独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话
misarranged|排列凌乱的
monogrammed|有交织字母(或花押字)的
mellifluous|加了蜜糖的, 甜蜜的, 甜美的, 流畅的
makluk|髭海豹
mediaeval|中古的, 中世纪的
mesodontic|[医] 中型牙的
methodics|[医] 方法医学派
muong|芒人
mixoploid|混倍体
moonshiny|月光照耀的, 空虚的, 空想的
maiming|[法] 伤害他人身体
miniate|涂红色于
moderant|和缓物
mynah|[动] 八哥
magdalenian|马格达林时期的
metrics|韵律学, (诗等的)韵律特色
mansarded|mansard的变形
maranta|[植]竹竽
mgt|management 经营, 管理, 资方
multifid|多裂的, 多瓣的
malemute|马拉摩特雪橇狗
myoplasm|[医] 肌浆, 肌质
murids|(murid 的复数) adj.鼠的, 鼠科的
macrouridae|长尾鳕科
micropipet|[化] 微量吸移管
mandril|心轴, 心子, 紧轴, (非正式)鹤嘴锄
manhole|人孔
microprobe|[计] 微探针
melodizes|谱成乐曲（melodize的第三人称单数形式）
macrocarpous|[植]有大果实的
mischanceful|mischance的变形
malodorous|有恶臭的
mulched|用护根覆盖（植物根部或其周围地面）( mulch的过去式和过去分词 )
medullitis|骨髓炎
manometers|(manometer 的复数) n. 压力计
mannishness|mannish（男子气的, 男子似的）的名词形式
menstrua|menstuum 的复数
mesmeromania|[医] 催眠狂
mayst|<古>may的第二人称单数现在时(仅与thou连用)
millilambert|[物]毫朗伯(亮度单位,=1/1000朗伯,略作mL)
meloncus|[医] │颊瘤
magellanic|(葡萄牙航海家)麦哲伦的,以麦哲伦命名的, 麦哲伦海峡的
maar|低平火山口；小火山口
meatorrhaphy|[医] 尿道口缝术
mesenteritis|肠系膜炎
multiplexor|[计] 多路开关选择器; 多路转接器; 多路复用器
mum|菊花, 沉默
myrtiform|[医] 桃金娘形的
maimon|Maimonides 迈蒙尼德
moreen|波纹织物
maturant|[医] 催脓药
monogynist|[网络] 实行一妻制的人
micropore|微孔
microspore|小孢子
mammula|[动]乳头突(如蜘蛛类的吐丝器)
mediatizing|并吞；使居于中间
monophyodont|不换性齿的
muscidae|[医] 蝇科
marbling|大理石花纹；大理石纹加工法；猪、牛肉的细脂肪纹路
mammotomy|乳房切开术
medialize|[网络] 内向化
moistener|[化] 湿润器
mashed|捣烂的；被捣成糊状的；捣碎的
molucca|摩鹿加群岛
myxospore|[医] 粘液孢子
maximizer|达到极大
myocarditic|[医] 心肌炎的
mealtime|进餐时间
myomotomy|[医] 肌瘤切开术
mutinying|违抗上级命令, 叛变, 反叛( mutiny的现在分词 ); （尤指士兵或船员）不服从, 反抗, 反叛
mortiferous|致命的
marquees|大帐篷（marquee的复数形式）
mazovian|[网络] 马佐维亚人
millioersted|毫奥(斯特)
mediocrities|平庸, 第二流, 平庸人( mediocrity的复数形式 )
metabolizing|使发生新陈代谢( metabolize的现在分词 )
malinois|玛伦牧羊犬
mesiobuccal|[医] 近中颊[侧]的
measles|麻疹, 风疹, 家畜囊尾蚴病, 米珠
moorburn|烧荒
mischose|,vi. mischoose的变形
marx|马克思（无产阶级的伟大领袖）
malarial|[医] 疟疾的
macula|斑点, 斑疵点, 黑点, 太阳黑子, 斑疹
metroscopy|[医] 子宫镜检查
mixoploidy|混倍性
meditator|深思者, 策划者
mamoncillo|蜜果
mothlike|moth的变形
morong|[人名] 莫龙; [地名] [菲律宾] 莫龙
malodour|恶臭
manograph|流(体)压力[强]记录器, 压力计, 示功器, 压力记录仪
mawseed|罂粟籽
millenium|千禧年；千年
megacycle|兆周
mirthfulness|欢乐
maimer|残害者
mutilation|切断, 毁损
miniscule|(=minuscule)草写小字的, 小字的
mudlarks|(mudlark 的第三人称 -s形式)  清沟工人, 掘泥工人
multipole|多极的
metathetical|复分解的
micelles|[化学] 胶团；微粒；[分子生物] 微胶粒（micelle的复数形式）
monophagism|[医] 单食, 偏食
melanian|黑色人种的, 黑色素的
middlebrows|知能学识平凡的人；中庸
melanterite|水绿矾
mycoplana|[医] 支动杆菌属
morphogeny|形态发生
menisci|meniscus 的复数
matadors|斗牛士( matador的复数形式 )
monohull|单体船
manfully|男子气概地；雄伟地
metricizes|改为公制( metricize的第三人称单数 )
marchman|边境居民
morasses|缠作一团( morass的复数形式 ); 困境; <文>沼泽; 陷阱
monkeyshines|<美俚>恶作剧
metallics|(metallic 的复数) a. 金属的, 含金属的, 产生金属的
monoplanes|(monoplane 的复数) n. 单翼机
mesosaur|中龙
maltster|麦芽制造(或出售)者
muck|垃圾, 肥料
miskin|[人名] 米斯金; [地名] [阿曼、乌兹别克斯坦] 米斯金
manpack|单人可携带的
mandioca|[植]树薯, 树薯粉
minyan|(相传住在古希腊中部的)米尼安人
myorrhaphy|肌缝术
macrocosm|大宇宙, 大世界, 全域, 整体
mostra|(Mostra)人名；(意)莫斯特拉
miking|千分尺测量
malonate|丙二酸
monatomic|单原子的
melanophore|[生](尤指鱼类、 两栖动物和爬虫的)载黑素细胞
metromania|女子淫狂; 赋诗狂
megalocornea|[医] 球形角膜
metarossite|[矿]变木钒钙石
millisecond|毫秒
mesmerizes|使入迷( mesmerize的第三人称单数 )
moleskins|(moleskin 的第三人称 -s形式) n. 鼹鼠皮, 斜纹棉布, 斜纹棉布裤
moabitess|摩押妇女
muttonchops|圆形络腮胡子
monoline|[计] 单线
metalize|使金属化, 使...硬化
musci|[医] 藓纲, 藓类
marathi|马拉地语(属印欧语系印度语族)
muscadelle|[网络] 密思卡岱；慕斯卡德；麝香葡萄
metin|(Metin)人名；(俄)梅京；(土)梅廷
methanolysis|甲醇分解作用
milesian|爱尔兰的
monstrously|可怕地；荒唐地；强烈地
miscopying|基因错抄
mesocephalic|[解]中头型的(头指数在76.0-80.9之间)
mythus|神话
magmatism|岩浆作用
minuet|小步舞, 小步舞曲
mimicked|模仿（活象）
methide|甲基化物
monocultural|（具有）单一文化的
microtone|[音](小于半音的) 微音程
motific|[网络] 气质
manroot|[网络] 根人
modernise|vi. (使)现代化, (使)适应现代需要
marquesan|(大洋洲)马克萨斯人, 马克萨斯群岛的, 马克萨斯人的
majlis|(伊朗)议会
milliliter|毫升
metatarsal|跖骨的
moo|发哞声
melamine|三聚氰胺
maltol|带焦糖味并有苦味的物质(用于巧克力制品, 清凉饮料等)
marmoset|狨
misogynous|厌恶女人的
materialized|具体化, 成为现实( materialize的过去式和过去分词 )
misproud|[古语]目空一切的；妄自尊大的
microcytosis|[医] 小红细胞症
mediatorial|倾向于调解的, 调解的
microbicidal|杀微生物的
mesoscapula|[医] 肩胛冈
malinke|马林凯人(非洲西岸)
mindfulness|留心, 警觉
morticing|<术>榫眼, 卯眼, 接合( mortice的现在分词 )
mudder|善于在泥地上跑的马
medievalize|使中古化
martite|假象赤铁矿
modernness|现代, 近代
morainal|冰碛的
minorite|(天主教)小兄弟会修士
mucago|[医] 粘液
monogene|单成因的
mopoke|蟆口鸱, 笨人
minstrels|游方音乐家( minstrel的复数形式 ); 游方艺人; 吟游; 吟游诗人
mainlined|,vi. mainline的变形
melodically|旋律地（melodic的变体）
moringa|辣木属
magnetron|磁控管
mediaevalist|中世纪研究家, 中古史学家
multiparity|[医] 经产; 多胎产
monas|[医] 单胞菌属, 滴虫属
mesotropic|[医] 腔中央的
mesioversion|[医] 近中向位
memorialized|请愿( memorialize的过去式和过去分词 )
midiskirt|(长至小腿肚的)中长裙
metalling|铺路碎石, 喷镀金属
mummified|成木乃伊状( mummify的过去式和过去分词 ); 干瘪; 使干瘪; 使成木乃伊
micrologic|[计] 微程序控制逻辑
moruloid|[医] 桑葚样的
mumchance|<古><方> adj.& adv.不出声的(地), 不说话的(地)
missounding|[网络] 不正当
meadowlands|(meadowland 的复数) n.草地, 牧场, (割制干草用的)饲料种植地
metacarpale|掌骨
miltonian|弥尔顿（英国诗人, 政论家, 1608-1674）的或其作品的, 似弥尔顿的作品的
motherhood|母道, 母性, 母亲们
misfit|不适合, 不适合的东西, 不适应环境的人
mezereum|[化] 瑞香
multicolor|[计] 多色绘图的
modernising|现代化（等于modernize）
masha|玛莎（人名）
mosquitofish|[鱼]食蚊鱼
machinal|机械式的, 无意识的, 不由自主的
moniliasis|[医]念珠菌病
mailability|mailable的变形
muscarine|[生化]蝇蕈碱, 蕈毒碱
myogram|[医]肌动(描记)图
markswoman|射手, 神枪手
missional|[网络] 宣教的；宣教性；使命导向
macadamize|以碎石铺
myocele|[医] 肌突出
marginalia|pl. 旁注, 次要项目
moellon|油鞣废油, 乱石圬工
macroglossia|[医]巨舌
myiosis|[医] 蝇蛆病
mormal|[地名] [白俄罗斯] 莫尔马利
mollescence|[医] 软化
mirv|Multiple Independently (Targetable) Re-entry Vehicle 多弹头分导重返大汽层运载工具
moorland|高沼地
motorisation|[医]机械化
monometallic|使用单金属的, 单(金属)本位制的
martes|[医]貂属
modumite|霞辉斜长岩
methylase|[生化]甲基化酶
micromere|[生]小(分)裂球
mercurify|与水银混合, 混合
mimicries|(mimicry 的复数) n. 模仿
microhm|微欧姆
mobilizers|(mobilizer 的复数)  [医]剥离器, 活动器
maligning|污蔑, 诽谤（malign的现在分词形式）
mammered|[英国方言]；口吃
morcha|(印度的)反政府示威
malladrite|氟硅钠石
multibit|[计] 多路的
monostrophe|(各诗节韵律相同的)单韵律诗
moveless|静止的,不动的
metroxylon|[网络] 西谷椰属；西谷椰子属；西菱忖l属
metalise|化为金属;使[橡胶] 硬化
marguerite|雏菊
metalworks|(metalwork 的复数) n. 金属制品, 金属加工
milliner|女帽制造商
manstopping|用以杀伤冲锋士兵的, 大威力的
moonshots|(moonshot 的复数) n. （火箭等的）向月球发射
mealtimes|进餐时间, 吃饭时间( mealtime的复数形式 )
mausolean|mausoleum的变形
marianist|( 天主教) 巴黎圣母会成员
maters|(mater 的复数) n. 母亲
moonstone|月长石
mortgaging|抵押( mortgage的现在分词 )
magically|用魔法地；如魔法般地
millwrights|(millwright 的复数) n. 磨粉厂的设计者, 机器安装工
minded|有意的, 有心的, 具有意志的
mung|[植]绿豆
marwari|马尔瓦尔人
mercator|墨卡托（地理学家, 地图制作家）
masquerade|化装舞会, 伪装
mytilidae|贻贝科
mammilla|乳头
monoclinal|单斜的
muddled|混乱的；糊涂的；头脑昏昏然的
muroid|鼠类
metallizing|[计] 金属喷镀法, 金属化
megapode|[鸟]■雉
maculation|斑点, 污点, 玷污
medians|(median 的复数) a. 中央的, 中间的, 正中的
mastiff|大驯犬
mands|Maintenance and Supply 维修与保养
myopathia|[医] 肌病
moulin|[地]冰川锅穴
myna|家八哥
midfield|球场中央部分
mamba|树眼镜蛇
meritocracy|精英领导阶级
mussuck|<印英>皮水袋
miters|Minor Traffic Engineering and Road Safety Improvements 支线交通工程和道路安全改进
masurium|钨
milligals|(milligal 的复数) n.[物]毫伽(重力加速度单位,=1/1000伽,略作mGal或mgal)
meditated|深思, 沉思, 冥想( meditate的过去式和过去分词 ); 内心策划, 考虑
minidisks|(minidisk 的第三人称 -s形式) [计] 小型磁盘
muguet|[医] 霉菌性口炎, 鹅口疮
misplays|失误( misplay的第三人称单数 )
morrice|[人名] [英格兰人、威尔士人、苏格兰人、爱尔兰人姓氏] 莫里斯 Morris的变体
missals|(missal 的复数) n. 弥撒书
manservant|仆役, 男仆
magnifique|[网络] 璀璨红情；璀璨香水；曼尼菲克
mensurate|测定, 测量
metrectasia|[医] 子宫扩张
measled|患麻疹的
merryman|<古>小丑,丑角
midriffs|膈, 中腹部( midriff的复数形式 )
motorizes|给（车辆）装上发动机( motorize的第三人称单数 ); 使机动化; 用机动车装配（部队等）; 使（部队等）机动化
mouldboard|模板, 型板
marconigraph|(马可尼式)无线电报机
mortarless|无灰泥的
moulted|换羽, 脱毛( moult的过去式和过去分词 ); <喻>去掉（旧习惯、观点等）
masturbatory|手淫的,自淫的
mayan|马雅人的, 马雅语的
melitis|颊炎
meatier|多肉的( meaty的比较级 ); 肉厚的; <非正>内容丰富的; 发人深思的
mythography|(绘画、雕刻等的)神话艺术
manganesian|manganese的变形
mensk|[地名] [白俄罗斯] 明斯克
malaria|疟疾, 瘴气
malady|病, 疾病, 弊病
metonic|(古代雅典天文学家)默冬的
mafioso|黑手党成员, 秘密政党成员
misdirecting|给…指错方向( misdirect的现在分词 )
monoprotic|一元的
mirthful|愉快的, 高兴的
midwives|接生婆, 助产士( midwife的名词复数 )
marage|[冶]使(金属等)受马氏体时效处理
mundanely|世俗地
marmot|土拨鼠
musicophobia|对音乐的反常恐惧(或厌恶)
meticulosity|一丝不苟
modeler|[计]模型作者, 造型者, 模型工
mizenmast|后桅
mortgaged|抵押( mortgage的过去式和过去分词 )
mesophytism|中生性
mixtec|(pl. Mixtecs, Mixtec)米斯特克人(墨西哥瓦哈卡, 盖雷罗和普埃布拉州的一支印第安人)
monogenistic|monogenist的变形
multiples|跨国公司；多倍制图仪；连票；倍数
macaronic|两种语言混合的
mus|[医] 鼠属
madden|使发狂, 激怒
mileometer|计程表
molluscs|<动>软体动物( mollusc的复数形式 ); 贝类
mistrusted|不信任( mistrust的过去式和过去分词 )
myocardium|心肌, 心肌层
mismate|使匹配不当
mortiser|凿榫机
messier|(Messier)人名；(意)梅谢；(英)梅西尔；(法)梅西耶
moused|鼠标；老鼠；胆小羞怯的人
mesolite|中沸石
marsupialize|[医]给…造袋
meanspirited|卑鄙的
maulstick|支腕杖
mitered|斜接的, 戴礼冠的
moussakas|(moussaka 的复数) 茄合(希腊的一道菜名, 盖以白酱汁和干酪然后烤熟)
moribund|垂死的
microscopes|显微镜( microscope的复数形式 )
marchesi|[人名] 马基西
maunders|唠叨地讲, 徘徊( maunder的第三人称单数 )
molilalia|[医]出语困难,难语症(如口吃)
meliatin|[医] │睡菜甙
malpighia|[植]金虎尾科的
medics|医学工作者；苜蓿（medic的复数）
militiaman|国民兵, 民兵
mononitrate|一硝酸盐
myrrhy|多没药的, (似)有没药香味的
margravine|候爵夫人
muskogee|马斯科吉（美国城市）；马斯科吉人；马斯科吉语
mythoheroic|歌颂神话英雄事迹的
manages|管理；负责；控制；设法对付（manage的三单形式）
multipacket|[计] 多组的
maypop|粉色西番莲, 粉色西番莲果实
meristically|meristic的变形
marekanite|[地质]似曜岩斑状体, 珠状流纹玻璃
metacarpals|(metacarpal 的复数) a. 掌的
makings|发展(成...)的可能性, 素质
moonblink|[医] 月光盲, 夜盲
missetting|错调, 未调准
mudguards|挡泥板, 汽车的挡泥板( mudguard的复数形式 )
mesalliance|和低身份者结婚, 门不当户不对的婚姻
mester|<英方>主人,老爷(用作对男主人的称呼语)
middy|海军军校学员, 水手衫
molland|(Molland)人名；(法、挪)莫兰
monetarists|货币主义者( monetarist的复数形式 )
merozoite|[动]裂殖子
mundanity|尘俗
muezzin|宣礼员
mesas|(mesa 的复数) n. 台面, 岩滩, 平顶山
merosome|[医] 节片, 体节
metathalamus|[解]丘脑后部
minored|[主美国英语]副修，选修，兼修( minor的过去式和过去分词 )
mucker|重重跌倒, 灾难, 装岩工
mediant|中音
mediastinal|[医] 纵隔的
metayage|[法] 折半佃法
maharanee|<印> 王公之妻, 女君主
multiengined|多发动机的
martensite|马氏体
meannesses|(meanness 的复数) n. 吝啬；卑鄙；劣等
mussitate|[网络] 麻烦
mineable|可开采的
monetizes|定为货币, 铸造成货币( monetize的第三人称单数 )
